date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-08-05,06:28AM,EURUSD,58,42,8021.68,5741.35,18624,29521,48145
2026-08-05,06:28AM,GBPUSD,60,40,3184.57,2093.71,8029,13134,21163
2026-08-05,06:28AM,USDJPY,29,71,466.96,1142.29,5528,2238,7766
2026-08-05,06:28AM,GBPJPY,66,34,653.11,334.65,1647,1638,3285
2026-08-05,06:28AM,USDCAD,68,32,2094.21,967.49,4712,7557,12269
2026-08-05,06:28AM,EURAUD,20,80,215.22,847.94,2502,1152,3654
2026-08-05,06:28AM,EURJPY,62,38,743.77,452.58,1477,2061,3538
2026-08-05,06:28AM,AUDCAD,83,17,7809.97,1566.81,7136,29322,36458
2026-08-05,06:28AM,AUDJPY,48,52,315.29,335.35,1263,1692,2955
2026-08-05,06:28AM,AUDNZD,73,27,2447.02,897.84,3153,9346,12499
2026-08-05,06:28AM,AUDUSD,75,25,1465.59,488.67,2367,5770,8137
2026-08-05,06:28AM,CADJPY,38,62,69.55,111.41,795,415,1210
2026-08-05,06:28AM,EURCAD,52,48,385.31,362.52,925,2545,3470
2026-08-05,06:28AM,EURCHF,82,18,636.22,135.5,1115,3805,4920
2026-08-05,06:28AM,EURCZK,63,37,0.19,0.11,11,19,30
2026-08-05,06:28AM,EURDKK,0,0,0,0,0,0,0
2026-08-05,06:28AM,EURGBP,68,32,912.77,438.83,2950,5831,8781
2026-08-05,06:28AM,EURHUF,89,11,0.96,0.12,12,9,21
2026-08-05,06:28AM,EURNOK,100,0,0.02,0,0,2,2
2026-08-05,06:28AM,EURNZD,29,71,155.26,374.37,1655,1550,3205
2026-08-05,06:28AM,EURPLN,96,4,4.29,0.18,5,29,34
2026-08-05,06:28AM,EURSEK,83,17,1.16,0.23,23,14,37
2026-08-05,06:28AM,EURTRY,100,0,1.71,0,0,10,10
2026-08-05,06:28AM,GBPCAD,89,11,345.31,44.64,615,2186,2801
2026-08-05,06:28AM,GBPCHF,78,22,277.82,80.15,627,2014,2641
2026-08-05,06:28AM,NZDCAD,91,9,1531.54,149.8,920,6071,6991
2026-08-05,06:28AM,NZDJPY,38,62,52.54,84.89,622,649,1271
2026-08-05,06:28AM,NZDUSD,72,28,984.46,380.73,1632,3481,5113
2026-08-05,06:28AM,USDCHF,42,58,574.3,788.83,3448,2569,6017
2026-08-05,06:28AM,USDCZK,0,100,0,0.53,21,0,21
2026-08-05,06:28AM,USDDKK,0,0,0,0,0,0,0
2026-08-05,06:28AM,USDHKD,100,0,0.02,0,0,1,1
2026-08-05,06:28AM,USDHUF,0,100,0,6.49,59,0,59
2026-08-05,06:28AM,USDMXN,49,51,2.44,2.5,42,18,60
2026-08-05,06:28AM,USDNOK,0,100,0,0.69,22,0,22
2026-08-05,06:28AM,USDPLN,3,97,0.01,0.34,14,1,15
2026-08-05,06:28AM,USDSEK,0,100,0,2.88,28,0,28
2026-08-05,06:28AM,USDSGD,20,80,1.41,5.57,69,15,84
