date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-09-21,10:47PM,EURUSD,35,65,5504.42,10194.91,27278,18350,45628
2026-09-21,10:47PM,GBPUSD,39,61,2446.8,3802.79,14486,8450,22936
2026-09-21,10:47PM,USDJPY,47,53,688.01,783.72,4310,3888,8198
2026-09-21,10:47PM,GBPJPY,33,67,208.54,418.64,2140,968,3108
2026-09-21,10:47PM,USDCAD,78,22,2299.49,657.35,2914,8714,11628
2026-09-21,10:47PM,EURAUD,19,81,177.97,749.03,3270,841,4111
2026-09-21,10:47PM,EURJPY,55,45,604.04,495.78,2017,1547,3564
2026-09-21,10:47PM,AUDCAD,84,16,5320.73,1050.91,5022,21289,26311
2026-09-21,10:47PM,AUDJPY,50,50,220.96,219.86,1163,1206,2369
2026-09-21,10:47PM,AUDNZD,93,7,7826.91,561.88,1128,21762,22890
2026-09-21,10:47PM,AUDUSD,53,47,1016.64,908.27,3481,4498,7979
2026-09-21,10:47PM,CADJPY,23,77,80.03,265.53,868,429,1297
2026-09-21,10:47PM,EURCAD,32,68,232.31,485.31,1634,1433,3067
2026-09-21,10:47PM,EURCHF,80,20,1077.57,262.57,1659,4193,5852
2026-09-21,10:47PM,EURCZK,67,33,0.18,0.09,9,18,27
2026-09-21,10:47PM,EURDKK,0,0,0,0,0,0,0
2026-09-21,10:47PM,EURGBP,58,42,621.1,443.78,2782,3535,6317
2026-09-21,10:47PM,EURHUF,94,6,2.35,0.16,16,12,28
2026-09-21,10:47PM,EURNOK,100,0,0.09,0,0,6,6
2026-09-21,10:47PM,EURNZD,85,15,335.7,57.5,435,1974,2409
2026-09-21,10:47PM,EURPLN,100,0,4.42,0.02,2,35,37
2026-09-21,10:47PM,EURSEK,53,47,0.1,0.09,9,10,19
2026-09-21,10:47PM,EURTRY,100,0,2.41,0.01,1,11,12
2026-09-21,10:47PM,GBPCAD,56,44,159.44,123.73,1178,1157,2335
2026-09-21,10:47PM,GBPCHF,71,29,265.62,108.52,862,1378,2240
2026-09-21,10:47PM,NZDCAD,10,90,210.91,1903.76,6409,1182,7591
2026-09-21,10:47PM,NZDJPY,7,93,39.33,537.63,1666,363,2029
2026-09-21,10:47PM,NZDUSD,13,87,186.77,1288.09,4719,900,5619
2026-09-21,10:47PM,USDCHF,66,34,1155.25,588.59,2688,4277,6965
2026-09-21,10:47PM,USDCZK,0,100,0,0.44,18,0,18
2026-09-21,10:47PM,USDDKK,0,0,0,0,0,0,0
2026-09-21,10:47PM,USDHKD,100,0,0.02,0,0,1,1
2026-09-21,10:47PM,USDHUF,0,100,0,6.81,65,0,65
2026-09-21,10:47PM,USDMXN,88,12,19.84,2.67,49,60,109
2026-09-21,10:47PM,USDNOK,29,71,0.13,0.32,17,5,22
2026-09-21,10:47PM,USDPLN,13,87,0.05,0.34,14,5,19
2026-09-21,10:47PM,USDSEK,87,13,3.05,0.46,22,12,34
2026-09-21,10:47PM,USDSGD,10,90,1.07,9.55,109,18,127
2026-09-21,10:47PM,USDTHB,5,95,0.01,0.2,8,1,9
2026-09-21,10:47PM,USDTRY,8,92,0.01,0.11,2,1,3
2026-09-21,10:47PM,USDZAR,82,18,8.02,1.81,68,85,153
2026-09-21,10:47PM,CHFJPY,28,72,131.97,331.91,1777,866,2643
2026-09-21,10:47PM,AUDCHF,97,3,2127.91,60.92,755,4174,4929
2026-09-21,10:47PM,GBPNZD,77,23,222.33,65.03,912,1802,2714
2026-09-21,10:47PM,NZDCHF,29,71,120.95,302.75,1984,1088,3072
2026-09-21,10:47PM,XAGUSD,48,52,136.82,147.88,776,395,1171
2026-09-21,10:47PM,XAUUSD,45,55,753.66,919.26,8083,4452,12535
2026-09-21,10:47PM,CADCHF,40,60,287.05,435.87,3414,1646,5060
2026-09-21,10:47PM,GBPAUD,14,86,49.05,309.06,1961,412,2373
2026-09-21,10:47PM,SPA35,0,100,0,0.18,1,0,1
2026-09-21,10:47PM,SGDJPY,87,13,1.74,0.26,10,16,26
2026-09-21,10:47PM,SUGAR,0,100,0,26.4,16,0,16
2026-09-21,10:47PM,GBPNOK,0,100,0,0.01,1,0,1
2026-09-21,10:47PM,US30,36,64,3,5.31,2,1,3
2026-09-21,10:47PM,EURZAR,99,1,2.48,0.03,2,15,17
2026-09-21,10:47PM,AUDSGD,64,36,3.09,1.72,108,80,188
2026-09-21,10:47PM,GBPZAR,0,0,0,0,0,0,0
2026-09-21,10:47PM,GBPSEK,0,100,0,0.05,2,0,2
2026-09-21,10:47PM,CHFSGD,67,33,1.69,0.82,24,25,49
2026-09-21,10:47PM,EURSGD,29,71,6.54,15.93,386,75,461
2026-09-21,10:47PM,GBPSGD,10,90,1.5,13.13,106,10,116
2026-09-21,10:47PM,AUDDKK,0,0,0,0,0,0,0
2026-09-21,10:47PM,EURHKD,38,63,1.08,1.8,45,4,49
