date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-08-13,08:54AM,EURUSD,56,44,8937,6932.56,22067,29027,51094
2026-08-13,08:54AM,GBPUSD,65,35,3765.31,2063.13,7735,15365,23100
2026-08-13,08:54AM,USDJPY,55,45,970.51,786.49,3974,4396,8370
2026-08-13,08:54AM,GBPJPY,86,14,1710.58,269.26,1164,3054,4218
2026-08-13,08:54AM,USDCAD,42,58,1587.44,2200.27,9382,6451,15833
2026-08-13,08:54AM,EURAUD,28,72,278.23,707.4,2610,1067,3677
2026-08-13,08:54AM,EURJPY,79,21,910.95,241.75,973,2554,3527
2026-08-13,08:54AM,AUDCAD,57,43,3254.07,2479.18,11782,16363,28145
2026-08-13,08:54AM,AUDJPY,77,23,507.19,147.59,735,2401,3136
2026-08-13,08:54AM,AUDNZD,79,21,2899.5,756.29,2600,12478,15078
2026-08-13,08:54AM,AUDUSD,77,23,1558.9,459.62,2100,5883,7983
2026-08-13,08:54AM,CADJPY,67,33,176.08,87.99,383,906,1289
2026-08-13,08:54AM,EURCAD,16,84,155.1,799.95,3187,1102,4289
2026-08-13,08:54AM,EURCHF,85,15,902.6,157.81,1128,4683,5811
2026-08-13,08:54AM,EURCZK,67,33,0.2,0.1,10,20,30
2026-08-13,08:54AM,EURDKK,0,0,0,0,0,0,0
2026-08-13,08:54AM,EURGBP,45,55,588.97,716.85,4467,3691,8158
2026-08-13,08:54AM,EURHUF,93,7,1.06,0.08,8,15,23
2026-08-13,08:54AM,EURNOK,100,0,0.02,0,0,2,2
2026-08-13,08:54AM,EURNZD,39,61,163.38,252.66,1429,1823,3252
2026-08-13,08:54AM,EURPLN,96,4,4.29,0.18,5,29,34
2026-08-13,08:54AM,EURSEK,90,10,2.05,0.23,23,3,26
2026-08-13,08:54AM,EURTRY,100,0,1.71,0,0,10,10
2026-08-13,08:54AM,GBPCAD,63,37,211.93,121.86,1127,1412,2539
2026-08-13,08:54AM,GBPCHF,81,19,405.32,94.44,556,2430,2986
2026-08-13,08:54AM,NZDCAD,17,83,251.47,1260.62,5062,1618,6680
2026-08-13,08:54AM,NZDJPY,44,56,94.31,119.12,567,735,1302
2026-08-13,08:54AM,NZDUSD,65,35,786.04,431.58,2010,2657,4667
2026-08-13,08:54AM,USDCHF,48,52,667.81,735.38,2967,3064,6031
2026-08-13,08:54AM,USDCZK,0,100,0,0.53,21,0,21
2026-08-13,08:54AM,USDDKK,0,0,0,0,0,0,0
2026-08-13,08:54AM,USDHKD,100,0,0.02,0,0,1,1
2026-08-13,08:54AM,USDHUF,2,98,0.13,6.84,67,2,69
2026-08-13,08:54AM,USDMXN,49,51,2.69,2.79,45,18,63
2026-08-13,08:54AM,USDNOK,0,100,0,0.86,28,0,28
2026-08-13,08:54AM,USDPLN,0,100,0,0.35,15,0,15
2026-08-13,08:54AM,USDSEK,0,100,0,2.65,23,0,23
2026-08-13,08:54AM,USDSGD,3,97,0.23,7.72,102,14,116
2026-08-13,08:54AM,USDTHB,5,95,0.01,0.2,8,1,9
2026-08-13,08:54AM,USDTRY,0,100,0,0.05,1,0,1
2026-08-13,08:54AM,USDZAR,12,88,0.32,2.41,72,14,86
2026-08-13,08:54AM,CHFJPY,58,42,250.87,181.17,1109,1104,2213
2026-08-13,08:54AM,AUDCHF,93,7,1396.89,108.25,590,3465,4055
2026-08-13,08:54AM,GBPNZD,57,43,312.96,232.02,1704,1208,2912
2026-08-13,08:54AM,NZDCHF,80,20,916.52,236.01,1795,3369,5164
2026-08-13,08:54AM,XAGUSD,48,52,118.01,128.84,784,414,1198
2026-08-13,08:54AM,XAUUSD,49,51,790.58,816.49,7906,6099,14005
2026-08-13,08:54AM,CADCHF,48,52,394.18,430.06,3371,2426,5797
2026-08-13,08:54AM,GBPAUD,41,59,122.04,175.74,1520,767,2287
2026-08-13,08:54AM,SPA35,0,100,0,0.18,1,0,1
2026-08-13,08:54AM,SGDJPY,99,1,4.46,0.05,5,22,27
2026-08-13,08:54AM,SUGAR,0,100,0,26.4,16,0,16
2026-08-13,08:54AM,GBPNOK,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,US30,36,64,3,5.31,2,1,3
2026-08-13,08:54AM,EURZAR,95,5,2.32,0.13,3,18,21
2026-08-13,08:54AM,AUDSGD,62,38,2.41,1.5,68,46,114
2026-08-13,08:54AM,GBPZAR,0,0,0,0,0,0,0
2026-08-13,08:54AM,GBPSEK,0,100,0,0.35,6,0,6
2026-08-13,08:54AM,CHFSGD,90,10,1.77,0.19,13,24,37
2026-08-13,08:54AM,EURSGD,73,27,9.35,3.4,78,103,181
2026-08-13,08:54AM,GBPSGD,55,45,2.8,2.32,46,23,69
2026-08-13,08:54AM,AUDDKK,0,0,0,0,0,0,0
2026-08-13,08:54AM,EURHKD,38,63,1.08,1.8,45,4,49
2026-08-13,08:54AM,GBPDKK,0,0,0,0,0,0,0
2026-08-13,08:54AM,COPPER,0,100,0,0.03,3,0,3
2026-08-13,08:54AM,COFFEE,80,20,4,1,1,3,4
2026-08-13,08:54AM,EURO50,0,0,0,0,0,0,0
2026-08-13,08:54AM,TRYJPY,0,100,0.02,5.83,10,1,11
2026-08-13,08:54AM,US500,100,0,1.1,0,0,2,2
2026-08-13,08:54AM,GBPPLN,0,0,0,0,0,0,0
2026-08-13,08:54AM,WHEAT,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,COCOA,100,0,0.05,0,0,1,1
2026-08-13,08:54AM,UK100,100,0,1.36,0,0,6,6
2026-08-13,08:54AM,XAUGBP,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,COTTON,0,100,0,0.03,3,0,3
2026-08-13,08:54AM,NOKJPY,98,2,1,0.02,2,1,3
2026-08-13,08:54AM,SP500,0,0,0,0,0,0,0
2026-08-13,08:54AM,ZARJPY,91,9,2,0.19,10,2,12
2026-08-13,08:54AM,HKDJPY,0,0,0,0,0,0,0
2026-08-13,08:54AM,CHFNOK,50,50,0.02,0.02,1,1,2
2026-08-13,08:54AM,GBPTRY,100,0,0.4,0,0,2,2
2026-08-13,08:54AM,USDRUB,0,100,0,0.1,1,0,1
2026-08-13,08:54AM,SEKJPY,49,51,0.28,0.29,7,1,8
2026-08-13,08:54AM,MSFT,0,0,0,0,0,0,0
2026-08-13,08:54AM,JNJ,0,0,0,0,0,0,0
2026-08-13,08:54AM,EURMXN,100,0,1.45,0,0,15,15
2026-08-13,08:54AM,XAUAUD,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,XAUEUR,25,75,0.88,2.61,51,7,58
2026-08-13,08:54AM,WS30,0,0,0,0,0,0,0
2026-08-13,08:54AM,NAS100,2,98,0.01,0.61,7,1,8
2026-08-13,08:54AM,SGDHKD,0,0,0,0,0,0,0
2026-08-13,08:54AM,US2000,100,0,2,0,0,2,2
2026-08-13,08:54AM,FRA40,94,6,4,0.26,1,4,5
2026-08-13,08:54AM,GER30,0,100,0,0.1,1,0,1
2026-08-13,08:54AM,AUDSEK,0,0,0,0,0,0,0
2026-08-13,08:54AM,XAUJPY,53,47,0.67,0.6,10,11,21
2026-08-13,08:54AM,XAUCHF,4,96,0.02,0.5,24,1,25
2026-08-13,08:54AM,USOIL,100,0,0.03,0,0,1,1
2026-08-13,08:54AM,CHFSEK,100,0,0.1,0,0,10,10
2026-08-13,08:54AM,AUS200,50,50,1,1,1,1,2
2026-08-13,08:54AM,GBPMXN,100,0,0.08,0,0,8,8
2026-08-13,08:54AM,JPN225,0,100,0,1,1,0,1
2026-08-13,08:54AM,XAGAUD,50,50,0.01,0.01,1,1,2
2026-08-13,08:54AM,NOKSEK,12,88,0.13,0.98,87,2,89
2026-08-13,08:54AM,USDX,0,100,0,0.3,1,0,1
2026-08-13,08:54AM,XAGEUR,0,100,0,0.57,30,0,30
2026-08-13,08:54AM,EBAY,0,0,0,0,0,0,0
2026-08-13,08:54AM,VIX,0,100,0,0.2,2,0,2
2026-08-13,08:54AM,CHFHKD,0,0,0,0,0,0,0
2026-08-13,08:54AM,YHOO,0,100,0,8,1,0,1
2026-08-13,08:54AM,XPTUSD,49,51,9.33,9.6,7,23,30
2026-08-13,08:54AM,GBPHKD,0,0,0,0,0,0,0
2026-08-13,08:54AM,XPDUSD,10,90,0.01,0.09,9,1,10
2026-08-13,08:54AM,CADHKD,0,0,0,0,0,0,0
2026-08-13,08:54AM,USDCNH,0,100,0,25.83,54,0,54
2026-08-13,08:54AM,AUDHKD,0,0,0,0,0,0,0
2026-08-13,08:54AM,NZDHKD,0,0,0,0,0,0,0
2026-08-13,08:54AM,AAPL,0,0,0,0,0,0,0
2026-08-13,08:54AM,PFE,0,100,0,0.5,1,0,1
2026-08-13,08:54AM,FB,0,100,0,0.5,1,0,1
2026-08-13,08:54AM,IT40,100,0,4,0,0,1,1
2026-08-13,08:54AM,GS,0,0,0,0,0,0,0
2026-08-13,08:54AM,NKE,0,0,0,0,0,0,0
2026-08-13,08:54AM,BA,0,0,0,0,0,0,0
2026-08-13,08:54AM,CVX,0,0,0,0,0,0,0
2026-08-13,08:54AM,GOOG,0,100,0,1,1,0,1
2026-08-13,08:54AM,XTIUSD,0,100,0,3,3,0,3
2026-08-13,08:54AM,BTCUSD,61,39,179.87,116.16,1251,755,2006
2026-08-13,08:54AM,XBRUSD,0,100,0,0.03,3,0,3
2026-08-13,08:54AM,US30.D,100,0,1,0,0,1,1
2026-08-13,08:54AM,BTCEUR,100,0,0.1,0,0,1,1
2026-08-13,08:54AM,LTCBTC,0,100,0,2,2,0,2
2026-08-13,08:54AM,LTCUSD,4,96,2,50.36,345,2,347
2026-08-13,08:54AM,TWTR,0,100,0,1,1,0,1
2026-08-13,08:54AM,HK50,100,0,0.1,0,0,1,1
2026-08-13,08:54AM,GOPRO,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,XNGUSD,100,0,0.02,0,0,1,1
2026-08-13,08:54AM,APPL,0,0,0,0,0,0,0
2026-08-13,08:54AM,DXU5,0,0,0,0,0,0,0
2026-08-13,08:54AM,DXZ5,0,100,0,2,2,0,2
2026-08-13,08:54AM,OGZD,0,0,0,0,0,0,0
2026-08-13,08:54AM,CN50,33,67,0.2,0.4,4,1,5
2026-08-13,08:54AM,BTCJPY,0,100,0,0.08,8,0,8
2026-08-13,08:54AM,ETHUSD,12,88,49.99,351.11,1365,143,1508
2026-08-13,08:54AM,DSHUSD,2,98,0.01,0.6,1,1,2
2026-08-13,08:54AM,DASH,100,0,2.9,0,0,7,7
2026-08-13,08:54AM,BTCGBP,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,ETCUSD,0,100,0,1,1,0,1
2026-08-13,08:54AM,XRPUSD,8,92,3.43,40.45,66,16,82
2026-08-13,08:54AM,BCHUSD,1,99,0.01,1.02,3,1,4
2026-08-13,08:54AM,ZECUSD,100,0,1.2,0,0,4,4
2026-08-13,08:54AM,XMRUSD,14,86,0.01,0.06,4,1,5
2026-08-13,08:54AM,NEOUSD,0,100,0,11.5,10,0,10
2026-08-13,08:54AM,OMGUSD,0,100,0,264,66,0,66
2026-08-13,08:54AM,RIPPLE,100,0,0.1,0,0,1,1
2026-08-13,08:54AM,EOSUSD,0,100,0,1,2,0,2
2026-08-13,08:54AM,IOTUSD,0,100,0,0.1,1,0,1
2026-08-13,08:54AM,QTMUSD,0,100,0,161,46,0,46
2026-08-13,08:54AM,XLMUSD,0,100,0,0.6,3,0,3
2026-08-13,08:54AM,TRXUSD,0,100,0,0.15,1,0,1
2026-08-13,08:54AM,ZRXUSD,100,0,0.02,0,0,2,2
2026-08-13,08:54AM,ADAUSD,89,11,5.31,0.66,27,4,31
2026-08-13,08:54AM,XTZUSD,0,100,0,0.7,2,0,2
2026-08-13,08:54AM,BATUSD,0,100,0,0.15,3,0,3
2026-08-13,08:54AM,FTMUSD,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,FETUSD,0,100,0,0.05,5,0,5
2026-08-13,08:54AM,SCI25,0,100,0,0.2,2,0,2
2026-08-13,08:54AM,CNI30,100,0,0.2,0,0,2,2
2026-08-13,08:54AM,BIO30,0,100,0,0.1,1,0,1
2026-08-13,08:54AM,LAT30,0,100,0,0.1,1,0,1
2026-08-13,08:54AM,JPYX,100,0,1,0,0,1,1
2026-08-13,08:54AM,MKRUSD,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,DOTUSD,0,100,0,0.83,9,0,9
2026-08-13,08:54AM,UNIUSD,0,100,0,15,5,0,5
2026-08-13,08:54AM,VETUSD,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,YFIUSD,0,100,0,0.2,1,0,1
2026-08-13,08:54AM,ICPUSD,0,100,0,0.08,7,0,7
2026-08-13,08:54AM,SOLUSD,6,94,13.52,199.68,132,21,153
2026-08-13,08:54AM,SNXUSD,0,100,0,0.5,1,0,1
2026-08-13,08:54AM,FILUSD,0,100,0,0.35,10,0,10
2026-08-13,08:54AM,AXSUSD,0,100,0,0.15,5,0,5
2026-08-13,08:54AM,ENJUSD,100,0,0.01,0,0,1,1
2026-08-13,08:54AM,ZILUSD,0,100,0,0.1,10,0,10
2026-08-13,08:54AM,LRCUSD,0,100,0,0.3,1,0,1
2026-08-13,08:54AM,GRTUSD,0,100,0,0.03,3,0,3
2026-08-13,08:54AM,CHZUSD,0,100,0,0.01,1,0,1
2026-08-13,08:54AM,BNTUSD,0,100,0,0.3,1,0,1
