date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-08-06,02:24AM,EURUSD,62,38,10542.79,6544.77,20455,36760,57215
2026-08-06,02:24AM,GBPUSD,65,35,4244.39,2271.74,8151,16021,24172
2026-08-06,02:24AM,USDJPY,31,69,426.18,942.9,4964,2232,7196
2026-08-06,02:24AM,GBPJPY,67,33,702.9,338.66,1619,1622,3241
2026-08-06,02:24AM,USDCAD,52,48,2403.35,2201.13,9511,8379,17890
2026-08-06,02:24AM,EURAUD,22,78,224.32,813.45,2330,1206,3536
2026-08-06,02:24AM,EURJPY,71,29,770.49,316.13,1272,2174,3446
2026-08-06,02:24AM,AUDCAD,76,24,6459.51,2072.36,9505,24949,34454
2026-08-06,02:24AM,AUDJPY,50,50,320.6,319.58,1260,1803,3063
2026-08-06,02:24AM,AUDNZD,74,26,2333.28,838.79,3216,9457,12673
2026-08-06,02:24AM,AUDUSD,79,21,1566.99,425.6,2277,6135,8412
2026-08-06,02:24AM,CADJPY,35,65,72.63,134.39,783,584,1367
2026-08-06,02:24AM,EURCAD,39,61,255.72,405.49,1450,1563,3013
2026-08-06,02:24AM,EURCHF,81,19,647.19,147.82,1184,3772,4956
2026-08-06,02:24AM,EURCZK,66,34,0.21,0.11,11,21,32
2026-08-06,02:24AM,EURDKK,0,0,0,0,0,0,0
2026-08-06,02:24AM,EURGBP,69,31,947.36,423.35,2750,6086,8836
2026-08-06,02:24AM,EURHUF,90,10,1.04,0.12,12,15,27
2026-08-06,02:24AM,EURNOK,100,0,0.02,0,0,2,2
2026-08-06,02:24AM,EURNZD,27,73,137.59,380.21,1657,1393,3050
2026-08-06,02:24AM,EURPLN,96,4,4.29,0.18,5,29,34
2026-08-06,02:24AM,EURSEK,23,77,0.07,0.23,23,4,27
2026-08-06,02:24AM,EURTRY,100,0,1.71,0,0,10,10
2026-08-06,02:24AM,GBPCAD,74,26,269.87,96.3,1478,1338,2816
2026-08-06,02:24AM,GBPCHF,74,26,274.65,95.16,752,1867,2619
2026-08-06,02:24AM,NZDCAD,85,15,1073.88,192.96,1107,4966,6073
2026-08-06,02:24AM,NZDJPY,41,59,70.88,102.51,613,732,1345
2026-08-06,02:24AM,NZDUSD,76,24,946.54,303.14,1397,3669,5066
2026-08-06,02:24AM,USDCHF,42,58,540.45,744.21,3522,2364,5886
2026-08-06,02:24AM,USDCZK,0,100,0,0.53,21,0,21
2026-08-06,02:24AM,USDDKK,0,0,0,0,0,0,0
2026-08-06,02:24AM,USDHKD,100,0,0.02,0,0,1,1
2026-08-06,02:24AM,USDHUF,1,99,0.04,5.79,54,1,55
2026-08-06,02:24AM,USDMXN,43,57,2.55,3.44,47,19,66
2026-08-06,02:24AM,USDNOK,0,100,0,0.69,22,0,22
2026-08-06,02:24AM,USDPLN,3,97,0.01,0.34,14,1,15
2026-08-06,02:24AM,USDSEK,0,100,0,2.96,30,0,30
2026-08-06,02:24AM,USDSGD,53,47,6.5,5.67,74,15,89
2026-08-06,02:24AM,USDTHB,5,95,0.01,0.2,8,1,9
2026-08-06,02:24AM,USDTRY,100,0,0.9,0,0,2,2
2026-08-06,02:24AM,USDZAR,69,31,4.67,2.06,66,25,91
