date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-09-15,10:47PM,EURUSD,45,55,5932.94,7179.57,22336,19240,41576
2026-09-15,10:47PM,GBPUSD,50,50,2091.88,2130.01,9713,8395,18108
2026-09-15,10:47PM,USDJPY,24,76,550.8,1701.7,7380,2737,10117
2026-09-15,10:47PM,GBPJPY,19,81,228.04,991.56,3133,1097,4230
2026-09-15,10:47PM,USDCAD,53,47,1094.05,965.09,4339,5676,10015
2026-09-15,10:47PM,EURAUD,22,78,194.46,702.49,2950,1170,4120
2026-09-15,10:47PM,EURJPY,24,76,591.94,1866.08,4062,1586,5648
2026-09-15,10:47PM,AUDCAD,68,32,3136.94,1507.26,6550,14895,21445
2026-09-15,10:47PM,AUDJPY,23,77,182.5,594.95,2222,999,3221
2026-09-15,10:47PM,AUDNZD,93,7,7132.53,528,1076,21168,22244
2026-09-15,10:47PM,AUDUSD,62,38,1473.48,910.95,3640,5253,8893
2026-09-15,10:47PM,CADJPY,14,86,71.47,447.77,1611,412,2023
2026-09-15,10:47PM,EURCAD,29,71,218.07,527.18,1798,1382,3180
2026-09-15,10:47PM,EURCHF,90,10,1069.73,125.05,1026,4414,5440
2026-09-15,10:47PM,EURCZK,71,29,0.2,0.08,8,20,28
2026-09-15,10:47PM,EURDKK,0,0,0,0,0,0,0
2026-09-15,10:47PM,EURGBP,47,53,577.2,640.98,3500,2976,6476
2026-09-15,10:47PM,EURHUF,94,6,2.47,0.16,16,20,36
2026-09-15,10:47PM,EURNOK,100,0,0.09,0,0,6,6
2026-09-15,10:47PM,EURNZD,84,16,301.85,57.63,416,2186,2602
2026-09-15,10:47PM,EURPLN,100,0,4.35,0,0,34,34
2026-09-15,10:47PM,EURSEK,61,39,0.11,0.07,7,11,18
2026-09-15,10:47PM,EURTRY,100,0,2.31,0,0,10,10
2026-09-15,10:47PM,GBPCAD,55,45,141.26,116.04,1296,1071,2367
2026-09-15,10:47PM,GBPCHF,82,18,317.37,68.99,545,1930,2475
2026-09-15,10:47PM,NZDCAD,7,93,141.75,1891.13,7023,820,7843
2026-09-15,10:47PM,NZDJPY,5,95,53.18,1001.63,2192,335,2527
2026-09-15,10:47PM,NZDUSD,22,78,254.48,894.31,3772,1008,4780
2026-09-15,10:47PM,USDCHF,59,41,862.34,605.77,2469,3689,6158
2026-09-15,10:47PM,USDCZK,0,100,0,0.44,18,0,18
2026-09-15,10:47PM,USDDKK,0,0,0,0,0,0,0
2026-09-15,10:47PM,USDHKD,100,0,0.02,0,0,1,1
2026-09-15,10:47PM,USDHUF,13,87,1,6.64,59,9,68
2026-09-15,10:47PM,USDMXN,87,13,17.87,2.66,45,55,100
2026-09-15,10:47PM,USDNOK,9,91,0.03,0.29,14,2,16
2026-09-15,10:47PM,USDPLN,8,92,0.03,0.34,14,3,17
2026-09-15,10:47PM,USDSEK,81,19,1.83,0.43,19,8,27
2026-09-15,10:47PM,USDSGD,25,75,4.07,12.25,142,23,165
2026-09-15,10:47PM,USDTHB,5,95,0.01,0.2,8,1,9
2026-09-15,10:47PM,USDTRY,0,100,0,0.15,2,0,2
2026-09-15,10:47PM,USDZAR,81,19,8.1,1.9,71,87,158
2026-09-15,10:47PM,CHFJPY,16,84,130.28,686.92,2405,752,3157
2026-09-15,10:47PM,AUDCHF,97,3,2011.29,60.24,642,3829,4471
2026-09-15,10:47PM,GBPNZD,83,17,296.24,61.17,867,2379,3246
2026-09-15,10:47PM,NZDCHF,40,60,179.85,267.58,1840,1336,3176
2026-09-15,10:47PM,XAGUSD,34,66,121.34,232.95,911,362,1273
2026-09-15,10:47PM,XAUUSD,41,59,724.71,1021.8,8444,4172,12616
2026-09-15,10:47PM,CADCHF,48,52,348.89,371.15,2987,2121,5108
2026-09-15,10:47PM,GBPAUD,32,68,118.08,246.14,1700,788,2488
2026-09-15,10:47PM,SPA35,0,100,0,0.18,1,0,1
2026-09-15,10:47PM,SGDJPY,79,21,1.15,0.3,14,4,18
2026-09-15,10:47PM,SUGAR,0,100,0,26.4,16,0,16
2026-09-15,10:47PM,GBPNOK,0,100,0,0.01,1,0,1
2026-09-15,10:47PM,US30,36,64,3,5.31,2,1,3
2026-09-15,10:47PM,EURZAR,99,1,2.48,0.03,2,15,17
2026-09-15,10:47PM,AUDSGD,58,42,3.15,2.27,111,83,194
2026-09-15,10:47PM,GBPZAR,0,0,0,0,0,0,0
2026-09-15,10:47PM,GBPSEK,0,100,0,0.04,1,0,1
2026-09-15,10:47PM,CHFSGD,67,33,1.65,0.82,24,23,47
2026-09-15,10:47PM,EURSGD,40,60,10.04,14.9,336,92,428
2026-09-15,10:47PM,GBPSGD,14,86,1.82,10.9,86,13,99
2026-09-15,10:47PM,AUDDKK,0,0,0,0,0,0,0
2026-09-15,10:47PM,EURHKD,38,63,1.08,1.8,45,4,49
2026-09-15,10:47PM,GBPDKK,0,0,0,0,0,0,0
2026-09-15,10:47PM,COPPER,0,100,0,0.03,3,0,3
2026-09-15,10:47PM,COFFEE,80,20,4,1,1,3,4
2026-09-15,10:47PM,EURO50,0,0,0,0,0,0,0
2026-09-15,10:47PM,TRYJPY,0,100,0.02,5.83,10,1,11
2026-09-15,10:47PM,US500,100,0,1.1,0,0,2,2
2026-09-15,10:47PM,GBPPLN,0,0,0,0,0,0,0
2026-09-15,10:47PM,WHEAT,0,100,0,0.01,1,0,1
2026-09-15,10:47PM,COCOA,100,0,0.05,0,0,1,1
2026-09-15,10:47PM,UK100,100,0,1.36,0,0,6,6
2026-09-15,10:47PM,XAUGBP,2,98,0.04,2.56,1,1,2
2026-09-15,10:47PM,COTTON,0,100,0,0.03,3,0,3
2026-09-15,10:47PM,NOKJPY,93,7,1,0.07,7,1,8
2026-09-15,10:47PM,SP500,0,0,0,0,0,0,0
2026-09-15,10:47PM,ZARJPY,82,18,2,0.43,16,2,18
2026-09-15,10:47PM,HKDJPY,0,0,0,0,0,0,0
2026-09-15,10:47PM,CHFNOK,50,50,0.02,0.02,1,1,2
2026-09-15,10:47PM,GBPTRY,100,0,0.4,0,0,2,2
2026-09-15,10:47PM,USDRUB,0,100,0,0.1,1,0,1
2026-09-15,10:47PM,SEKJPY,0,100,0,0.08,8,0,8
2026-09-15,10:47PM,MSFT,0,0,0,0,0,0,0
2026-09-15,10:47PM,JNJ,0,0,0,0,0,0,0
2026-09-15,10:47PM,EURMXN,100,0,1.28,0,0,19,19
2026-09-15,10:47PM,XAUAUD,100,0,0.07,0,0,1,1
2026-09-15,10:47PM,XAUEUR,8,92,0.25,2.89,58,13,71
2026-09-15,10:47PM,WS30,0,0,0,0,0,0,0
2026-09-15,10:47PM,NAS100,2,98,0.01,0.61,7,1,8
2026-09-15,10:47PM,SGDHKD,0,0,0,0,0,0,0
2026-09-15,10:47PM,US2000,100,0,2,0,0,2,2
2026-09-15,10:47PM,FRA40,94,6,4,0.26,1,4,5
2026-09-15,10:47PM,GER30,0,100,0,0.1,1,0,1
2026-09-15,10:47PM,AUDSEK,0,0,0,0,0,0,0
2026-09-15,10:47PM,XAUJPY,24,76,0.43,1.34,24,16,40
2026-09-15,10:47PM,XAUCHF,5,95,0.02,0.41,17,1,18
2026-09-15,10:47PM,USOIL,100,0,0.03,0,0,1,1
2026-09-15,10:47PM,CHFSEK,100,0,0.1,0,0,10,10
2026-09-15,10:47PM,AUS200,50,50,1,1,1,1,2
2026-09-15,10:47PM,GBPMXN,100,0,0.08,0,0,8,8
2026-09-15,10:47PM,JPN225,0,100,0,1,1,0,1
