date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-07-30,01:20PM,EURUSD,53,47,8245.06,7221.33,23046,28759,51805
2026-07-30,01:20PM,GBPUSD,53,47,2804.93,2480.9,9532,11134,20666
2026-07-30,01:20PM,USDJPY,80,20,1981.91,510.93,2459,6707,9166
2026-07-30,01:20PM,GBPJPY,73,27,590.57,214.85,1391,2532,3923
2026-07-30,01:20PM,USDCAD,67,33,2113.8,1061.41,5300,7033,12333
2026-07-30,01:20PM,EURAUD,45,55,502.97,619.94,1837,2210,4047
2026-07-30,01:20PM,EURJPY,84,16,1148.66,222.76,1177,3799,4976
2026-07-30,01:20PM,AUDCAD,48,52,3567.71,3875.77,14113,15399,29512
2026-07-30,01:20PM,AUDJPY,63,37,412.77,238.27,1015,1883,2898
2026-07-30,01:20PM,AUDNZD,71,29,4356.33,1751.09,7076,9838,16914
2026-07-30,01:20PM,AUDUSD,60,40,1086.98,717.52,3221,3887,7108
2026-07-30,01:20PM,CADJPY,82,18,277.4,62.49,399,1602,2001
2026-07-30,01:20PM,EURCAD,30,70,231.03,537.24,1884,1715,3599
2026-07-30,01:20PM,EURCHF,87,13,873.34,126.53,1125,4564,5689
2026-07-30,01:20PM,EURCZK,63,37,0.19,0.11,11,19,30
2026-07-30,01:20PM,EURDKK,0,0,0,0,0,0,0
2026-07-30,01:20PM,EURGBP,69,31,1128.54,510.41,2872,7395,10267
2026-07-30,01:20PM,EURHUF,89,11,3.06,0.37,20,27,47
2026-07-30,01:20PM,EURNOK,100,0,0.01,0,0,1,1
2026-07-30,01:20PM,EURNZD,40,60,175.17,258.19,1633,1475,3108
2026-07-30,01:20PM,EURPLN,99,1,4.31,0.03,3,31,34
2026-07-30,01:20PM,EURSEK,83,17,1.04,0.22,22,5,27
2026-07-30,01:20PM,EURTRY,100,0,3.21,0,0,10,10
2026-07-30,01:20PM,GBPCAD,54,46,178.95,153.38,1390,1760,3150
2026-07-30,01:20PM,GBPCHF,82,18,435.37,93.34,615,2766,3381
2026-07-30,01:20PM,NZDCAD,51,49,332.37,313.66,1752,2136,3888
2026-07-30,01:20PM,NZDJPY,69,31,198.05,89.52,483,1345,1828
