date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-08-18,08:31AM,EURUSD,64,36,10860.1,6040.19,19382,36060,55442
2026-08-18,08:31AM,GBPUSD,77,23,5032.46,1520.45,6503,18725,25228
2026-08-18,08:31AM,USDJPY,56,44,1091.57,844.47,4113,4898,9011
2026-08-18,08:31AM,GBPJPY,90,10,2137.43,239.44,1082,3733,4815
2026-08-18,08:31AM,USDCAD,34,66,1610.61,3194.95,13066,6535,19601
2026-08-18,08:31AM,EURAUD,18,82,187.58,844.41,2991,876,3867
2026-08-18,08:31AM,EURJPY,83,17,1121.98,234.73,859,3439,4298
2026-08-18,08:31AM,AUDCAD,68,32,3894.71,1823.59,8929,17936,26865
2026-08-18,08:31AM,AUDJPY,90,10,728.88,83.54,589,2876,3465
2026-08-18,08:31AM,AUDNZD,75,25,2356.26,779.45,2777,9271,12048
2026-08-18,08:31AM,AUDUSD,84,16,2280.39,419.22,1773,8088,9861
2026-08-18,08:31AM,CADJPY,79,21,276.93,72.45,413,1173,1586
2026-08-18,08:31AM,EURCAD,29,71,321.44,782.56,2937,1595,4532
2026-08-18,08:31AM,EURCHF,89,11,1231.18,144.86,1196,5452,6648
2026-08-18,08:31AM,EURCZK,67,33,0.2,0.1,10,20,30
2026-08-18,08:31AM,EURDKK,0,0,0,0,0,0,0
2026-08-18,08:31AM,EURGBP,51,49,671.58,651.49,3884,4133,8017
2026-08-18,08:31AM,EURHUF,97,3,2.33,0.08,8,19,27
2026-08-18,08:31AM,EURNOK,50,50,0.06,0.06,2,4,6
2026-08-18,08:31AM,EURNZD,29,71,160.03,400.59,1787,1662,3449
2026-08-18,08:31AM,EURPLN,100,0,4.29,0,0,29,29
2026-08-18,08:31AM,EURSEK,90,10,2.05,0.23,23,3,26
2026-08-18,08:31AM,EURTRY,94,6,1.71,0.1,2,10,12
2026-08-18,08:31AM,GBPCAD,52,48,192.09,176.47,1458,1323,2781
2026-08-18,08:31AM,GBPCHF,83,17,398.27,79.6,574,2392,2966
2026-08-18,08:31AM,NZDCAD,49,51,370.39,390.48,2266,2292,4558
