date,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-06-28,EURUSD,38,62,6334.93,10227.54,31267,18784,50051
2026-06-28,GBPUSD,45,55,2754.85,3302.8,17084,10477,27561
2026-06-28,USDJPY,84,16,2217.75,415.18,2550,8151,10701
2026-06-28,GBPJPY,51,49,313.86,305.82,1647,1452,3099
2026-06-28,USDCAD,92,8,5457.83,477.97,3089,15807,18896
2026-06-28,EURAUD,60,40,785.29,533.35,1890,2558,4448
2026-06-28,EURJPY,68,32,807.3,375.63,1682,2033,3715
2026-06-28,AUDCAD,31,69,3773.11,8517.67,25616,17211,42827
2026-06-28,AUDJPY,47,53,313.76,360.78,2002,1271,3273
2026-06-28,AUDNZD,89,11,5359.51,636.12,1837,14814,16651
2026-06-28,AUDUSD,27,73,1078.13,2886,7688,3627,11315
2026-06-28,CADJPY,34,66,103.49,198.2,997,567,1564
2026-06-28,EURCAD,68,32,250.01,116.03,724,1572,2296
2026-06-28,EURCHF,47,53,338.05,381.97,1976,2294,4270
2026-06-28,EURCZK,88,12,0.29,0.04,2,19,21
2026-06-28,EURDKK,0,0,0,0,0,0,0
2026-06-28,EURGBP,41,59,398.58,579.18,3409,2849,6258
2026-06-28,EURHUF,28,72,0.71,1.84,20,10,30
2026-06-28,EURNOK,9,91,0.7,7,8,9,17
2026-06-28,EURNZD,91,9,751.97,71.62,526,3161,3687
2026-06-28,EURPLN,100,0,4.28,0.01,1,28,29
2026-06-28,EURSEK,100,0,0.92,0,0,10,10
2026-06-28,EURTRY,100,0,0.54,0,0,5,5
2026-06-28,GBPCAD,76,24,218.32,70.54,692,1931,2623
2026-06-28,GBPCHF,51,49,135.9,130.31,1082,1619,2701
2026-06-28,NZDCAD,4,96,135.6,2934.05,10468,718,11186
2026-06-28,NZDJPY,8,92,52.61,628.15,2149,590,2739
2026-06-28,NZDUSD,7,93,152.48,2172.19,7229,826,8055
2026-06-28,USDCHF,66,34,1306.03,680.88,2865,4845,7710
2026-06-28,USDCZK,0,100,0,0.54,22,0,22
2026-06-28,USDDKK,0,0,0,0,0,0,0
2026-06-28,USDHKD,100,0,0.02,0,0,1,1
2026-06-28,USDHUF,0,100,0,6.87,70,0,70
2026-06-28,USDMXN,53,47,2.66,2.36,35,27,62
2026-06-28,USDNOK,68,32,1.27,0.59,15,5,20
2026-06-28,USDPLN,0,100,0,0.36,16,0,16
2026-06-28,USDSEK,79,21,5.6,1.53,21,15,36
2026-06-28,USDSGD,94,6,19.9,1.37,51,177,228
2026-06-28,USDTHB,6,94,0.01,0.16,7,1,8
2026-06-28,USDTRY,100,0,0.15,0,0,2,2
2026-06-28,USDZAR,75,25,5.07,1.66,66,119,185
2026-06-28,CHFJPY,69,31,506.94,229.48,1831,1974,3805
2026-06-28,AUDCHF,22,78,234.14,822.53,2235,1375,3610
2026-06-28,GBPNZD,93,7,961.9,67.82,530,4157,4687
