date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-07-17,02:10AM,EURUSD,43,57,6154.3,8305.79,25985,21091,47076
2026-07-17,02:10AM,GBPUSD,61,39,3936.28,2509.75,9417,15633,25050
2026-07-17,02:10AM,USDJPY,66,34,1592.84,804.54,2939,5177,8116
2026-07-17,02:10AM,GBPJPY,83,17,1627.74,329.03,1361,3825,5186
2026-07-17,02:10AM,USDCAD,60,40,2199.35,1456.48,7359,7425,14784
2026-07-17,02:10AM,EURAUD,30,70,254.19,589.03,2494,947,3441
2026-07-17,02:10AM,EURJPY,81,19,968.13,224.88,998,2934,3932
2026-07-17,02:10AM,AUDCAD,62,38,3746.12,2258.98,10627,16972,27599
2026-07-17,02:10AM,AUDJPY,80,20,385.59,96.21,722,1902,2624
2026-07-17,02:10AM,AUDNZD,63,37,4597.75,2720.62,9556,10462,20018
2026-07-17,02:10AM,AUDUSD,72,28,1547.15,598.01,3070,5962,9032
2026-07-17,02:10AM,CADJPY,77,23,172.28,52.33,407,1290,1697
2026-07-17,02:10AM,EURCAD,20,80,154.13,633.98,2341,1202,3543
2026-07-17,02:10AM,EURCHF,66,34,405.95,210.18,1623,2565,4188
2026-07-17,02:10AM,EURCZK,88,12,0.29,0.04,2,19,21
2026-07-17,02:10AM,EURDKK,0,0,0,0,0,0,0
2026-07-17,02:10AM,EURGBP,8,92,317.86,3678.58,13255,2010,15265
2026-07-17,02:10AM,EURHUF,94,6,5.21,0.31,12,28,40
2026-07-17,02:10AM,EURNOK,0,100,0,0.01,1,0,1
2026-07-17,02:10AM,EURNZD,13,87,138.34,888.39,3700,812,4512
2026-07-17,02:10AM,EURPLN,100,0,4.34,0,0,34,34
2026-07-17,02:10AM,EURSEK,100,0,0.01,0,0,1,1
2026-07-17,02:10AM,EURTRY,100,0,3.01,0,0,9,9
2026-07-17,02:10AM,GBPCAD,80,20,313.7,77.72,1077,2485,3562
2026-07-17,02:10AM,GBPCHF,90,10,575.12,62.46,571,3107,3678
2026-07-17,02:10AM,NZDCAD,86,14,1127.86,191.22,1069,4625,5694
2026-07-17,02:10AM,NZDJPY,84,16,280.39,52.01,327,1862,2189
2026-07-17,02:10AM,NZDUSD,74,26,746.86,263.3,1695,3540,5235
2026-07-17,02:10AM,USDCHF,57,43,1063.73,796.15,3004,3450,6454
2026-07-17,02:10AM,USDCZK,0,100,0,0.53,21,0,21
