date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-07-15,09:21AM,EURUSD,41,59,6188.95,8936.51,26709,21237,47946
2026-07-15,09:21AM,GBPUSD,56,44,4065.76,3172.52,12243,15798,28041
2026-07-15,09:21AM,USDJPY,73,27,1906.2,715.44,2641,5182,7823
2026-07-15,09:21AM,GBPJPY,69,31,653.17,288.82,1442,2685,4127
2026-07-15,09:21AM,USDCAD,66,34,2527.24,1291.96,6711,8944,15655
2026-07-15,09:21AM,EURAUD,20,80,177.54,689.44,2516,851,3367
2026-07-15,09:21AM,EURJPY,75,25,869.07,284.98,1239,2212,3451
2026-07-15,09:21AM,AUDCAD,62,38,3841.07,2352.93,11392,18013,29405
2026-07-15,09:21AM,AUDJPY,74,26,347.77,120.58,773,1546,2319
2026-07-15,09:21AM,AUDNZD,65,35,4699.81,2487.1,9031,10602,19633
2026-07-15,09:21AM,AUDUSD,62,38,1393.64,848.4,3401,5290,8691
2026-07-15,09:21AM,CADJPY,71,29,156.22,62.38,485,1034,1519
2026-07-15,09:21AM,EURCAD,19,81,156.75,655.68,2356,1210,3566
2026-07-15,09:21AM,EURCHF,68,32,462.03,217.82,1550,2953,4503
2026-07-15,09:21AM,EURCZK,88,12,0.29,0.04,2,19,21
2026-07-15,09:21AM,EURDKK,0,0,0,0,0,0,0
2026-07-15,09:21AM,EURGBP,10,90,275.16,2581.19,10555,1998,12553
2026-07-15,09:21AM,EURHUF,57,43,1.35,1.02,18,10,28
2026-07-15,09:21AM,EURNOK,0,100,0,0.02,1,0,1
2026-07-15,09:21AM,EURNZD,17,83,168.87,827.14,3432,1144,4576
2026-07-15,09:21AM,EURPLN,100,0,4.34,0,0,34,34
2026-07-15,09:21AM,EURSEK,100,0,0.01,0,0,1,1
2026-07-15,09:21AM,EURTRY,100,0,3.01,0,0,9,9
2026-07-15,09:21AM,GBPCAD,66,34,270.38,136.76,1355,2235,3590
2026-07-15,09:21AM,GBPCHF,84,16,427.08,84.3,748,2785,3533
2026-07-15,09:21AM,NZDCAD,82,18,839.89,187.17,986,3653,4639
2026-07-15,09:21AM,NZDJPY,78,22,196.79,54.44,380,1446,1826
2026-07-15,09:21AM,NZDUSD,59,41,587.88,409.68,1993,2928,4921
2026-07-15,09:21AM,USDCHF,55,45,970.9,782.26,3066,3147,6213
2026-07-15,09:21AM,USDCZK,0,100,0,0.53,21,0,21
2026-07-15,09:21AM,USDDKK,0,0,0,0,0,0,0
2026-07-15,09:21AM,USDHKD,100,0,0.02,0,0,1,1
2026-07-15,09:21AM,USDHUF,0,100,0.01,6.73,61,1,62
2026-07-15,09:21AM,USDMXN,58,42,3.28,2.37,36,32,68
2026-07-15,09:21AM,USDNOK,65,35,1.13,0.62,22,1,23
2026-07-15,09:21AM,USDPLN,6,94,0.02,0.33,14,2,16
2026-07-15,09:21AM,USDSEK,51,49,5,4.84,33,10,43
2026-07-15,09:21AM,USDSGD,78,22,12.77,3.53,57,84,141
2026-07-15,09:21AM,USDTHB,15,85,0.04,0.23,9,3,12
2026-07-15,09:21AM,USDTRY,100,0,0.9,0,0,2,2
2026-07-15,09:21AM,USDZAR,26,74,0.58,1.67,67,18,85
2026-07-15,09:21AM,CHFJPY,77,23,508.99,153.72,1296,1885,3181
2026-07-15,09:21AM,AUDCHF,90,10,986.04,111.14,777,2926,3703
2026-07-15,09:21AM,GBPNZD,53,47,512.23,457.33,3067,2359,5426
