date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-08-26,08:37AM,EURUSD,73,27,13015.78,4720.75,15203,39399,54602
2026-08-26,08:37AM,GBPUSD,83,17,7328.54,1525.04,5957,22287,28244
2026-08-26,08:37AM,USDJPY,41,59,650.85,926.43,4540,2359,6899
2026-08-26,08:37AM,GBPJPY,90,10,2373.95,254.73,1191,3481,4672
2026-08-26,08:37AM,USDCAD,38,62,1101.66,1762.88,7570,5896,13466
2026-08-26,08:37AM,EURAUD,19,81,157.96,670.74,2890,862,3752
2026-08-26,08:37AM,EURJPY,83,17,1289.49,256.66,962,3265,4227
2026-08-26,08:37AM,AUDCAD,88,12,9779.92,1363.26,6505,33115,39620
2026-08-26,08:37AM,AUDJPY,92,8,687.5,55.75,455,2702,3157
2026-08-26,08:37AM,AUDNZD,74,26,2215.26,797.07,2535,8901,11436
2026-08-26,08:37AM,AUDUSD,90,10,2672.19,296.87,1314,8530,9844
2026-08-26,08:37AM,CADJPY,54,46,188.73,158.72,524,890,1414
2026-08-26,08:37AM,EURCAD,52,48,437.22,399.91,1358,2169,3527
2026-08-26,08:37AM,EURCHF,81,19,793.62,183.74,1269,3663,4932
2026-08-26,08:37AM,EURCZK,45,55,0.1,0.12,12,10,22
2026-08-26,08:37AM,EURDKK,0,0,0,0,0,0,0
2026-08-26,08:37AM,EURGBP,52,48,678.77,630.98,3838,3466,7304
2026-08-26,08:37AM,EURHUF,95,5,2.12,0.1,10,13,23
2026-08-26,08:37AM,EURNOK,100,0,0.02,0,0,2,2
2026-08-26,08:37AM,EURNZD,32,68,145.87,306.24,1781,1333,3114
2026-08-26,08:37AM,EURPLN,100,0,4.3,0.02,2,30,32
2026-08-26,08:37AM,EURSEK,94,6,3.32,0.23,23,5,28
2026-08-26,08:37AM,EURTRY,100,0,2,0,0,9,9
2026-08-26,08:37AM,GBPCAD,78,22,292.62,80.97,713,1739,2452
2026-08-26,08:37AM,GBPCHF,74,26,254.92,90.2,619,1721,2340
2026-08-26,08:37AM,NZDCAD,90,10,1383.94,155.07,919,5939,6858
2026-08-26,08:37AM,NZDJPY,79,21,226.7,60.29,448,1382,1830
2026-08-26,08:37AM,NZDUSD,84,16,1521.6,293.07,1276,4190,5466
2026-08-26,08:37AM,USDCHF,28,72,394.27,1028.12,4299,1834,6133
2026-08-26,08:37AM,USDCZK,0,100,0,71.23,77,0,77
2026-08-26,08:37AM,USDDKK,0,0,0,0,0,0,0
2026-08-26,08:37AM,USDHKD,100,0,0.02,0,0,1,1
2026-08-26,08:37AM,USDHUF,0,100,0.01,6.91,73,1,74
2026-08-26,08:37AM,USDMXN,64,36,4.68,2.68,44,25,69
2026-08-26,08:37AM,USDNOK,1,99,0.01,1.51,32,1,33
2026-08-26,08:37AM,USDPLN,0,100,0,0.35,15,0,15
2026-08-26,08:37AM,USDSEK,0,100,0,3.94,29,0,29
2026-08-26,08:37AM,USDSGD,44,56,9.07,11.42,155,16,171
2026-08-26,08:37AM,USDTHB,2,98,0.01,0.41,10,1,11
2026-08-26,08:37AM,USDTRY,0,100,0,0.05,1,0,1
2026-08-26,08:37AM,USDZAR,10,90,0.22,2,72,11,83
2026-08-26,08:37AM,CHFJPY,74,26,392.65,139.45,1023,1480,2503
2026-08-26,08:37AM,AUDCHF,91,9,1142.39,116.75,576,2795,3371
2026-08-26,08:37AM,GBPNZD,22,78,80.89,286.59,2036,882,2918
2026-08-26,08:37AM,NZDCHF,69,31,515.55,233.54,1518,2593,4111
2026-08-26,08:37AM,XAGUSD,51,49,129.16,125.34,696,459,1155
2026-08-26,08:37AM,XAUUSD,46,54,713.4,824.48,7326,5247,12573
2026-08-26,08:37AM,CADCHF,32,68,221.88,469.94,3596,1267,4863
2026-08-26,08:37AM,GBPAUD,22,78,66.46,240.43,1701,589,2290
2026-08-26,08:37AM,SPA35,0,100,0,0.18,1,0,1
2026-08-26,08:37AM,SGDJPY,95,5,14.38,0.81,12,74,86
2026-08-26,08:37AM,SUGAR,0,100,0,26.4,16,0,16
2026-08-26,08:37AM,GBPNOK,20,80,0.01,0.04,4,1,5
2026-08-26,08:37AM,US30,36,64,3,5.31,2,1,3
2026-08-26,08:37AM,EURZAR,94,6,2.24,0.15,5,18,23
2026-08-26,08:37AM,AUDSGD,70,30,3.13,1.34,76,66,142
2026-08-26,08:37AM,GBPZAR,0,0,0,0,0,0,0
2026-08-26,08:37AM,GBPSEK,6,94,0.01,0.15,4,1,5
2026-08-26,08:37AM,CHFSGD,79,21,1.66,0.43,18,24,42
2026-08-26,08:37AM,EURSGD,85,15,16.38,3,65,178,243
2026-08-26,08:37AM,GBPSGD,73,27,2.37,0.89,25,21,46
2026-08-26,08:37AM,AUDDKK,0,0,0,0,0,0,0
2026-08-26,08:37AM,EURHKD,38,63,1.08,1.8,45,4,49
2026-08-26,08:37AM,GBPDKK,0,0,0,0,0,0,0
2026-08-26,08:37AM,COPPER,0,100,0,0.03,3,0,3
2026-08-26,08:37AM,COFFEE,80,20,4,1,1,3,4
2026-08-26,08:37AM,EURO50,0,0,0,0,0,0,0
2026-08-26,08:37AM,TRYJPY,0,100,0.02,5.83,10,1,11
2026-08-26,08:37AM,US500,100,0,1.1,0,0,2,2
2026-08-26,08:37AM,GBPPLN,0,0,0,0,0,0,0
2026-08-26,08:37AM,WHEAT,0,100,0,0.01,1,0,1
2026-08-26,08:37AM,COCOA,100,0,0.05,0,0,1,1
2026-08-26,08:37AM,UK100,100,0,1.36,0,0,6,6
2026-08-26,08:37AM,XAUGBP,100,0,0.04,0,0,1,1
2026-08-26,08:37AM,COTTON,0,100,0,0.03,3,0,3
2026-08-26,08:37AM,NOKJPY,100,0,1,0,0,1,1
2026-08-26,08:37AM,SP500,0,0,0,0,0,0,0
2026-08-26,08:37AM,ZARJPY,93,7,2,0.16,7,2,9
2026-08-26,08:37AM,HKDJPY,0,0,0,0,0,0,0
2026-08-26,08:37AM,CHFNOK,50,50,0.02,0.02,1,1,2
2026-08-26,08:37AM,GBPTRY,100,0,0.4,0,0,2,2
2026-08-26,08:37AM,USDRUB,0,100,0,0.1,1,0,1
2026-08-26,08:37AM,SEKJPY,74,26,0.88,0.31,9,2,11
2026-08-26,08:37AM,MSFT,0,0,0,0,0,0,0
2026-08-26,08:37AM,JNJ,0,0,0,0,0,0,0
