date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-09-02,06:14PM,EURUSD,52,48,7908.42,7205.99,19591,25145,44736
2026-09-02,06:14PM,GBPUSD,47,53,3539.43,4053.46,14090,11890,25980
2026-09-02,06:14PM,USDJPY,40,60,514.36,760.87,4471,1964,6435
2026-09-02,06:14PM,GBPJPY,30,70,441.73,1035.29,2882,1298,4180
2026-09-02,06:14PM,USDCAD,44,56,1097.95,1422.3,5712,5569,11281
2026-09-02,06:14PM,EURAUD,12,88,117.19,879.3,3590,710,4300
2026-09-02,06:14PM,EURJPY,60,40,695.55,467.88,1893,1763,3656
2026-09-02,06:14PM,AUDCAD,78,22,5697.53,1581.06,6708,18651,25359
2026-09-02,06:14PM,AUDJPY,81,19,632.97,151.82,1477,2167,3644
2026-09-02,06:14PM,AUDNZD,94,6,7748.44,465.27,1173,23099,24272
2026-09-02,06:14PM,AUDUSD,86,14,2181.48,353.43,1603,7291,8894
2026-09-02,06:14PM,CADJPY,60,40,174.43,117.21,486,649,1135
2026-09-02,06:14PM,EURCAD,33,67,302.63,626.66,2333,1513,3846
2026-09-02,06:14PM,EURCHF,91,9,1007.13,95.57,1011,4712,5723
2026-09-02,06:14PM,EURCZK,69,31,0.2,0.09,9,20,29
2026-09-02,06:14PM,EURDKK,0,0,0,0,0,0,0
2026-09-02,06:14PM,EURGBP,72,28,924.42,356.52,2050,4897,6947
2026-09-02,06:14PM,EURHUF,99,1,6.07,0.08,8,24,32
2026-09-02,06:14PM,EURNOK,6,94,0.02,0.32,8,2,10
2026-09-02,06:14PM,EURNZD,58,42,198.06,144,947,1644,2591
2026-09-02,06:14PM,EURPLN,99,1,4.32,0.03,2,32,34
2026-09-02,06:14PM,EURSEK,64,36,0.16,0.09,9,3,12
2026-09-02,06:14PM,EURTRY,100,0,2.01,0,0,10,10
2026-09-02,06:14PM,GBPCAD,33,67,139.63,285.51,2936,886,3822
2026-09-02,06:14PM,GBPCHF,73,27,250.21,92.97,645,1635,2280
2026-09-02,06:14PM,NZDCAD,8,92,169.16,1886.25,8386,1066,9452
2026-09-02,06:14PM,NZDJPY,24,76,99.46,315.05,1241,639,1880
2026-09-02,06:14PM,NZDUSD,32,68,357.58,758.39,2837,1585,4422
2026-09-02,06:14PM,USDCHF,59,41,980.36,693.31,2684,3654,6338
2026-09-02,06:14PM,USDCZK,0,100,0,1.03,23,0,23
2026-09-02,06:14PM,USDDKK,0,0,0,0,0,0,0
2026-09-02,06:14PM,USDHKD,100,0,0.02,0,0,1,1
2026-09-02,06:14PM,USDHUF,48,52,6.43,6.9,65,21,86
2026-09-02,06:14PM,USDMXN,65,35,5.32,2.81,47,29,76
2026-09-02,06:14PM,USDNOK,0,100,0,1.51,29,0,29
2026-09-02,06:14PM,USDPLN,3,97,0.01,0.34,14,1,15
2026-09-02,06:14PM,USDSEK,67,33,5.63,2.75,24,9,33
2026-09-02,06:14PM,USDSGD,6,94,0.92,14.69,165,23,188
2026-09-02,06:14PM,USDTHB,10,90,0.02,0.19,7,2,9
2026-09-02,06:14PM,USDTRY,0,100,0,0.05,1,0,1
2026-09-02,06:14PM,USDZAR,21,79,0.52,1.96,72,21,93
2026-09-02,06:14PM,CHFJPY,38,62,262.97,434.01,2404,1000,3404
2026-09-02,06:14PM,AUDCHF,96,4,2085.74,81.55,427,4475,4902
2026-09-02,06:14PM,GBPNZD,41,59,101.07,146.75,1329,1079,2408
2026-09-02,06:14PM,NZDCHF,64,36,416.41,232.39,1704,2501,4205
2026-09-02,06:14PM,XAGUSD,43,57,126.32,168.72,915,430,1345
2026-09-02,06:14PM,XAUUSD,45,55,820.06,998.62,8724,5246,13970
