date,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-06-29,ZECUSD,90,10,0.9,0.1,1,3,4
2026-06-29,XMRUSD,14,86,0.01,0.06,4,1,5
2026-06-29,NEOUSD,0,100,0,11.5,10,0,10
2026-06-29,OMGUSD,0,100,0,264,66,0,66
2026-06-29,RIPPLE,100,0,0.1,0,0,1,1
2026-06-29,EOSUSD,0,100,0,1,2,0,2
2026-06-29,IOTUSD,0,100,0,0.1,1,0,1
2026-06-29,QTMUSD,0,100,0,161,46,0,46
2026-06-29,XLMUSD,0,100,0,0.3,1,0,1
2026-06-29,TRXUSD,0,100,0,0.15,1,0,1
2026-06-29,ZRXUSD,100,0,0.02,0,0,2,2
2026-06-29,ADAUSD,2,98,0.1,6.28,10,1,11
2026-06-29,XTZUSD,0,100,0,0.7,2,0,2
2026-06-29,BATUSD,0,100,0,0.15,3,0,3
2026-06-29,FTMUSD,0,100,0,0.01,1,0,1
2026-06-29,FETUSD,0,100,0,0.05,5,0,5
2026-06-29,SCI25,0,100,0,0.2,2,0,2
2026-06-29,CNI30,100,0,0.2,0,0,2,2
2026-06-29,BIO30,0,100,0,0.1,1,0,1
2026-06-29,LAT30,0,100,0,0.1,1,0,1
2026-06-29,JPYX,100,0,1,0,0,1,1
2026-06-29,MKRUSD,0,100,0,0.01,1,0,1
2026-06-29,DOTUSD,0,100,0,0.75,5,0,5
2026-06-29,UNIUSD,0,100,0,15,5,0,5
2026-06-29,VETUSD,0,100,0,0.05,5,0,5
2026-06-29,YFIUSD,0,100,0,0.2,1,0,1
2026-06-29,ICPUSD,0,100,0,0.07,6,0,6
2026-06-29,SOLUSD,5,95,9.95,205.06,114,4,118
2026-06-29,SNXUSD,0,100,0,0.5,1,0,1
2026-06-29,FILUSD,0,100,0,0.34,9,0,9
2026-06-29,AXSUSD,0,100,0,0.14,4,0,4
2026-06-29,ENJUSD,100,0,0.01,0,0,1,1
2026-06-29,ZILUSD,0,100,0,0.1,10,0,10
2026-06-29,LRCUSD,0,100,0,0.3,1,0,1
2026-06-29,GRTUSD,0,100,0,4,4,0,4
2026-06-29,BNTUSD,0,100,0,0.3,1,0,1
