date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-07-30,10:07PM,EURUSD,53,47,8372.36,7383.98,23590,28976,52566
2026-07-30,10:07PM,GBPUSD,53,47,2779.42,2424.5,9155,10930,20085
2026-07-30,10:07PM,USDJPY,83,17,2081.7,435.58,2336,6841,9177
2026-07-30,10:07PM,GBPJPY,73,27,588.74,213.47,1363,2505,3868
2026-07-30,10:07PM,USDCAD,67,33,2099.59,1054.97,5276,7005,12281
2026-07-30,10:07PM,EURAUD,44,56,497.58,633.34,1845,2171,4016
2026-07-30,10:07PM,EURJPY,86,14,1148.2,192.17,1088,3798,4886
2026-07-30,10:07PM,AUDCAD,49,51,3568.72,3710.98,13757,15442,29199
2026-07-30,10:07PM,AUDJPY,70,30,408.2,172.97,909,1850,2759
2026-07-30,10:07PM,AUDNZD,71,29,4354.11,1744.63,7011,9840,16851
2026-07-30,10:07PM,AUDUSD,62,38,1093.92,678.98,3183,3824,7007
2026-07-30,10:07PM,CADJPY,85,15,279.69,49.97,382,1616,1998
2026-07-30,10:07PM,EURCAD,31,69,234.03,528.48,1853,1711,3564
2026-07-30,10:07PM,EURCHF,87,13,870,126.83,1124,4562,5686
2026-07-30,10:07PM,EURCZK,67,33,0.22,0.11,11,22,33
2026-07-30,10:07PM,EURDKK,0,0,0,0,0,0,0
2026-07-30,10:07PM,EURGBP,69,31,1125.78,510.53,2872,7364,10236
2026-07-30,10:07PM,EURHUF,89,11,3.07,0.37,20,28,48
2026-07-30,10:07PM,EURNOK,100,0,0.01,0,0,1,1
2026-07-30,10:07PM,EURNZD,41,59,173.1,250.72,1612,1457,3069
2026-07-30,10:07PM,EURPLN,99,1,4.31,0.03,3,31,34
2026-07-30,10:07PM,EURSEK,83,17,1.08,0.22,22,9,31
2026-07-30,10:07PM,EURTRY,100,0,3.21,0,0,10,10
2026-07-30,10:07PM,GBPCAD,54,46,176.19,151.97,1381,1753,3134
2026-07-30,10:07PM,GBPCHF,82,18,424.4,92.96,603,2740,3343
2026-07-30,10:07PM,NZDCAD,52,48,341.87,315.17,1754,2203,3957
2026-07-30,10:07PM,NZDJPY,69,31,201.54,89.73,479,1354,1833
2026-07-30,10:07PM,NZDUSD,54,46,453.72,392.62,2011,1997,4008
2026-07-30,10:07PM,USDCHF,65,35,1297.61,700.48,2845,4332,7177
2026-07-30,10:07PM,USDCZK,0,100,0,0.53,21,0,21
2026-07-30,10:07PM,USDDKK,0,0,0,0,0,0,0
2026-07-30,10:07PM,USDHKD,100,0,0.02,0,0,1,1
2026-07-30,10:07PM,USDHUF,1,99,0.06,7.02,66,2,68
2026-07-30,10:07PM,USDMXN,61,39,3.25,2.12,35,25,60
2026-07-30,10:07PM,USDNOK,0,100,0,0.63,19,0,19
2026-07-30,10:07PM,USDPLN,2,98,0.06,2.35,16,2,18
2026-07-30,10:07PM,USDSEK,54,46,5,4.24,26,10,36
2026-07-30,10:07PM,USDSGD,82,18,15.85,3.37,57,131,188
2026-07-30,10:07PM,USDTHB,20,80,0.04,0.16,7,3,10
2026-07-30,10:07PM,USDTRY,100,0,0.9,0,0,2,2
2026-07-30,10:07PM,USDZAR,88,12,11.73,1.55,61,158,219
2026-07-30,10:07PM,CHFJPY,77,23,507.91,148.75,1218,1957,3175
2026-07-30,10:07PM,AUDCHF,40,60,390.64,583.36,1435,2105,3540
2026-07-30,10:07PM,GBPNZD,51,49,292,279.31,2064,892,2956
2026-07-30,10:07PM,NZDCHF,86,14,1448.26,229.01,1760,3253,5013
2026-07-30,10:07PM,XAGUSD,43,57,109.29,142,900,294,1194
2026-07-30,10:07PM,XAUUSD,36,64,568.12,1010.41,10196,3911,14107
2026-07-30,10:07PM,CADCHF,49,51,430.57,455.06,3504,2071,5575
2026-07-30,10:07PM,GBPAUD,55,45,188.01,155.77,1397,1151,2548
2026-07-30,10:07PM,SPA35,0,100,0,0.18,1,0,1
2026-07-30,10:07PM,SGDJPY,100,0,66.72,0.08,8,100,108
2026-07-30,10:07PM,SUGAR,0,100,0,26.4,16,0,16
2026-07-30,10:07PM,GBPNOK,0,100,0,0.01,1,0,1
2026-07-30,10:07PM,US30,36,64,3,5.31,2,1,3
2026-07-30,10:07PM,EURZAR,99,1,3.43,0.03,2,19,21
2026-07-30,10:07PM,AUDSGD,42,58,2.26,3.18,54,31,85
2026-07-30,10:07PM,GBPZAR,0,0,0,0,0,0,0
2026-07-30,10:07PM,GBPSEK,0,100,0,0.3,8,0,8
2026-07-30,10:07PM,CHFSGD,88,12,1.69,0.22,14,25,39
2026-07-30,10:07PM,EURSGD,92,8,49.06,4.29,57,172,229
2026-07-30,10:07PM,GBPSGD,53,47,4.25,3.74,55,27,82
2026-07-30,10:07PM,AUDDKK,0,0,0,0,0,0,0
2026-07-30,10:07PM,EURHKD,38,63,1.08,1.8,45,4,49
2026-07-30,10:07PM,GBPDKK,0,0,0,0,0,0,0
2026-07-30,10:07PM,COPPER,0,100,0,0.03,3,0,3
2026-07-30,10:07PM,COFFEE,80,20,4,1,1,3,4
2026-07-30,10:07PM,EURO50,0,0,0,0,0,0,0
2026-07-30,10:07PM,TRYJPY,0,100,0.02,5.83,10,1,11
2026-07-30,10:07PM,US500,100,0,1.1,0,0,2,2
2026-07-30,10:07PM,GBPPLN,0,0,0,0,0,0,0
2026-07-30,10:07PM,WHEAT,0,100,0,0.01,1,0,1
2026-07-30,10:07PM,COCOA,100,0,0.05,0,0,1,1
2026-07-30,10:07PM,UK100,100,0,1.36,0,0,6,6
2026-07-30,10:07PM,XAUGBP,100,0,0.05,0,0,2,2
2026-07-30,10:07PM,COTTON,0,100,0,0.03,3,0,3
2026-07-30,10:07PM,NOKJPY,96,4,1,0.04,4,1,5
2026-07-30,10:07PM,SP500,0,0,0,0,0,0,0
2026-07-30,10:07PM,ZARJPY,91,9,2,0.2,11,2,13
2026-07-30,10:07PM,HKDJPY,0,0,0,0,0,0,0
2026-07-30,10:07PM,CHFNOK,50,50,0.02,0.02,1,1,2
2026-07-30,10:07PM,GBPTRY,100,0,0.4,0,0,2,2
2026-07-30,10:07PM,USDRUB,0,100,0,0.1,1,0,1
2026-07-30,10:07PM,SEKJPY,6,94,0.02,0.29,7,1,8
2026-07-30,10:07PM,MSFT,0,0,0,0,0,0,0
2026-07-30,10:07PM,JNJ,0,0,0,0,0,0,0
2026-07-30,10:07PM,EURMXN,100,0,2.5,0,0,25,25
2026-07-30,10:07PM,XAUAUD,100,0,0.09,0,0,3,3
2026-07-30,10:07PM,XAUEUR,17,83,0.18,0.85,58,7,65
2026-07-30,10:07PM,WS30,0,0,0,0,0,0,0
2026-07-30,10:07PM,NAS100,2,98,0.01,0.61,7,1,8
2026-07-30,10:07PM,SGDHKD,0,0,0,0,0,0,0
2026-07-30,10:07PM,US2000,100,0,2,0,0,2,2
2026-07-30,10:07PM,FRA40,94,6,4,0.26,1,4,5
2026-07-30,10:07PM,GER30,0,100,0,0.1,1,0,1
2026-07-30,10:07PM,AUDSEK,0,0,0,0,0,0,0
2026-07-30,10:07PM,XAUJPY,11,89,0.13,1.04,15,4,19
2026-07-30,10:07PM,XAUCHF,3,97,0.02,0.68,33,1,34
2026-07-30,10:07PM,USOIL,100,0,0.03,0,0,1,1
2026-07-30,10:07PM,CHFSEK,100,0,0.1,0,0,10,10
2026-07-30,10:07PM,AUS200,50,50,1,1,1,1,2
2026-07-30,10:07PM,GBPMXN,100,0,0.08,0,0,8,8
2026-07-30,10:07PM,JPN225,0,100,0,1,1,0,1
2026-07-30,10:07PM,XAGAUD,50,50,0.01,0.01,1,1,2
2026-07-30,10:07PM,NOKSEK,40,60,0.72,1.1,87,7,94
2026-07-30,10:07PM,USDX,0,100,0,0.3,1,0,1
2026-07-30,10:07PM,XAGEUR,0,100,0,0.53,28,0,28
2026-07-30,10:07PM,EBAY,0,0,0,0,0,0,0
2026-07-30,10:07PM,VIX,0,100,0,0.2,2,0,2
2026-07-30,10:07PM,CHFHKD,0,0,0,0,0,0,0
2026-07-30,10:07PM,YHOO,0,100,0,8,1,0,1
2026-07-30,10:07PM,XPTUSD,46,54,9.36,11.01,15,25,40
2026-07-30,10:07PM,GBPHKD,0,0,0,0,0,0,0
2026-07-30,10:07PM,XPDUSD,0,100,0,0.09,9,0,9
2026-07-30,10:07PM,CADHKD,0,0,0,0,0,0,0
2026-07-30,10:07PM,USDCNH,0,100,0,23.34,49,0,49
2026-07-30,10:07PM,AUDHKD,0,0,0,0,0,0,0
2026-07-30,10:07PM,NZDHKD,0,0,0,0,0,0,0
2026-07-30,10:07PM,AAPL,0,0,0,0,0,0,0
2026-07-30,10:07PM,PFE,0,100,0,0.5,1,0,1
2026-07-30,10:07PM,FB,0,100,0,0.5,1,0,1
2026-07-30,10:07PM,IT40,100,0,4,0,0,1,1
2026-07-30,10:07PM,GS,0,0,0,0,0,0,0
2026-07-30,10:07PM,NKE,0,0,0,0,0,0,0
2026-07-30,10:07PM,BA,0,0,0,0,0,0,0
2026-07-30,10:07PM,CVX,0,0,0,0,0,0,0
2026-07-30,10:07PM,GOOG,0,100,0,1,1,0,1
2026-07-30,10:07PM,XTIUSD,0,100,0,3,3,0,3
2026-07-30,10:07PM,BTCUSD,65,35,174.3,95.15,1200,777,1977
2026-07-30,10:07PM,XBRUSD,0,100,0,0.03,3,0,3
2026-07-30,10:07PM,US30.D,100,0,1,0,0,1,1
2026-07-30,10:07PM,BTCEUR,100,0,0.1,0,0,1,1
2026-07-30,10:07PM,LTCBTC,0,100,0,2,2,0,2
2026-07-30,10:07PM,LTCUSD,2,98,1.5,59.26,341,2,343
2026-07-30,10:07PM,TWTR,0,100,0,1,1,0,1
2026-07-30,10:07PM,HK50,100,0,0.1,0,0,1,1
2026-07-30,10:07PM,GOPRO,0,100,0,0.01,1,0,1
2026-07-30,10:07PM,XNGUSD,100,0,0.02,0,0,1,1
2026-07-30,10:07PM,APPL,0,0,0,0,0,0,0
2026-07-30,10:07PM,DXU5,0,0,0,0,0,0,0
2026-07-30,10:07PM,DXZ5,0,100,0,2,2,0,2
2026-07-30,10:07PM,OGZD,0,0,0,0,0,0,0
2026-07-30,10:07PM,CN50,33,67,0.2,0.4,4,1,5
2026-07-30,10:07PM,BTCJPY,0,100,0,0.08,8,0,8
2026-07-30,10:07PM,ETHUSD,11,89,53,414.8,1379,163,1542
2026-07-30,10:07PM,DSHUSD,2,98,0.01,0.6,1,1,2
2026-07-30,10:07PM,DASH,100,0,2.9,0,0,7,7
2026-07-30,10:07PM,BTCGBP,0,100,0,0.01,1,0,1
2026-07-30,10:07PM,ETCUSD,0,100,0,1,1,0,1
2026-07-30,10:07PM,XRPUSD,12,88,3.76,28.37,52,19,71
2026-07-30,10:07PM,BCHUSD,50,50,0.01,0.01,1,1,2
2026-07-30,10:07PM,ZECUSD,100,0,1.2,0,0,4,4
2026-07-30,10:07PM,XMRUSD,14,86,0.01,0.06,4,1,5
2026-07-30,10:07PM,NEOUSD,0,100,0,11.5,10,0,10
2026-07-30,10:07PM,OMGUSD,0,100,0,264,66,0,66
2026-07-30,10:07PM,RIPPLE,100,0,0.1,0,0,1,1
2026-07-30,10:07PM,EOSUSD,0,100,0,1,2,0,2
2026-07-30,10:07PM,IOTUSD,0,100,0,0.1,1,0,1
2026-07-30,10:07PM,QTMUSD,0,100,0,161,46,0,46
2026-07-30,10:07PM,XLMUSD,0,100,0,0.3,1,0,1
2026-07-30,10:07PM,TRXUSD,0,100,0,0.15,1,0,1
2026-07-30,10:07PM,ZRXUSD,100,0,0.02,0,0,2,2
2026-07-30,10:07PM,ADAUSD,3,97,0.2,6.3,12,2,14
2026-07-30,10:07PM,XTZUSD,0,100,0,0.7,2,0,2
2026-07-30,10:07PM,BATUSD,0,100,0,0.15,3,0,3
2026-07-30,10:07PM,FTMUSD,0,100,0,0.01,1,0,1
2026-07-30,10:07PM,FETUSD,0,100,0,0.05,5,0,5
2026-07-30,10:07PM,SCI25,0,100,0,0.2,2,0,2
2026-07-30,10:07PM,CNI30,100,0,0.2,0,0,2,2
2026-07-30,10:07PM,BIO30,0,100,0,0.1,1,0,1
2026-07-30,10:07PM,LAT30,0,100,0,0.1,1,0,1
2026-07-30,10:07PM,JPYX,100,0,1,0,0,1,1
2026-07-30,10:07PM,MKRUSD,0,100,0,0.01,1,0,1
2026-07-30,10:07PM,DOTUSD,0,100,0,0.82,8,0,8
2026-07-30,10:07PM,UNIUSD,0,100,0,15,5,0,5
2026-07-30,10:07PM,VETUSD,0,100,0,0.01,1,0,1
2026-07-30,10:07PM,YFIUSD,0,100,0,0.2,1,0,1
2026-07-30,10:07PM,ICPUSD,0,100,0,0.28,8,0,8
2026-07-30,10:07PM,SOLUSD,6,94,13.42,196.79,132,20,152
2026-07-30,10:07PM,SNXUSD,0,100,0,0.5,1,0,1
2026-07-30,10:07PM,FILUSD,0,100,0,0.35,10,0,10
2026-07-30,10:07PM,AXSUSD,0,100,0,0.15,5,0,5
2026-07-30,10:07PM,ENJUSD,100,0,0.01,0,0,1,1
2026-07-30,10:07PM,ZILUSD,0,100,0,0.1,10,0,10
2026-07-30,10:07PM,LRCUSD,0,100,0,0.3,1,0,1
2026-07-30,10:07PM,GRTUSD,0,100,0,0.03,3,0,3
2026-07-30,10:07PM,CHZUSD,0,100,0,0.01,1,0,1
2026-07-30,10:07PM,BNTUSD,0,100,0,0.3,1,0,1
