date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-09-21,01:37PM,EURUSD,36,64,5586.54,9767.65,26495,18994,45489
2026-09-21,01:37PM,GBPUSD,38,62,2450.88,3972.52,15070,8441,23511
2026-09-21,01:37PM,USDJPY,47,53,689.55,788.57,4066,3799,7865
2026-09-21,01:37PM,GBPJPY,33,67,205.56,413.02,2045,938,2983
2026-09-21,01:37PM,USDCAD,75,25,2072.51,675.42,3023,8148,11171
2026-09-21,01:37PM,EURAUD,13,87,116.3,789.41,3293,777,4070
2026-09-21,01:37PM,EURJPY,50,50,567.53,577.58,1942,1500,3442
2026-09-21,01:37PM,AUDCAD,82,18,4981.57,1087.6,5096,20152,25248
2026-09-21,01:37PM,AUDJPY,51,49,222.74,211.29,1143,1173,2316
2026-09-21,01:37PM,AUDNZD,94,6,7894.45,548.16,1157,21877,23034
2026-09-21,01:37PM,AUDUSD,52,48,1013.94,928.4,3476,4541,8017
2026-09-21,01:37PM,CADJPY,21,79,77.31,288.24,877,423,1300
2026-09-21,01:37PM,EURCAD,31,69,222.57,491.86,1683,1440,3123
2026-09-21,01:37PM,EURCHF,86,14,1116.69,182.48,1306,4522,5828
2026-09-21,01:37PM,EURCZK,69,31,0.18,0.08,8,18,26
2026-09-21,01:37PM,EURDKK,0,0,0,0,0,0,0
2026-09-21,01:37PM,EURGBP,58,42,621.93,441.43,2702,3520,6222
2026-09-21,01:37PM,EURHUF,94,6,2.61,0.16,16,16,32
2026-09-21,01:37PM,EURNOK,100,0,0.1,0,0,7,7
2026-09-21,01:37PM,EURNZD,84,16,322.13,59.09,448,1997,2445
2026-09-21,01:37PM,EURPLN,100,0,4.42,0.01,1,35,36
2026-09-21,01:37PM,EURSEK,53,47,0.1,0.09,9,10,19
2026-09-21,01:37PM,EURTRY,100,0,2.42,0,0,12,12
2026-09-21,01:37PM,GBPCAD,56,44,152.13,121.67,1103,1143,2246
2026-09-21,01:37PM,GBPCHF,76,24,296.16,94.05,660,1544,2204
2026-09-21,01:37PM,NZDCAD,9,91,197.92,1928.76,6421,1246,7667
2026-09-21,01:37PM,NZDJPY,7,93,39.56,546.38,1659,343,2002
2026-09-21,01:37PM,NZDUSD,13,87,193.85,1279.83,4586,936,5522
2026-09-21,01:37PM,USDCHF,67,33,1155.52,581.17,2548,4518,7066
2026-09-21,01:37PM,USDCZK,0,100,0,0.44,18,0,18
2026-09-21,01:37PM,USDDKK,0,0,0,0,0,0,0
2026-09-21,01:37PM,USDHKD,100,0,0.02,0,0,1,1
2026-09-21,01:37PM,USDHUF,4,96,0.3,6.81,65,4,69
2026-09-21,01:37PM,USDMXN,88,12,19.84,2.67,49,60,109
2026-09-21,01:37PM,USDNOK,29,71,0.13,0.32,17,5,22
2026-09-21,01:37PM,USDPLN,13,87,0.05,0.34,14,5,19
2026-09-21,01:37PM,USDSEK,87,13,3.05,0.45,21,12,33
2026-09-21,01:37PM,USDSGD,10,90,1.07,9.58,110,18,128
2026-09-21,01:37PM,USDTHB,5,95,0.01,0.2,8,1,9
2026-09-21,01:37PM,USDTRY,0,100,0,0.11,2,0,2
2026-09-21,01:37PM,USDZAR,82,18,8.08,1.8,67,86,153
2026-09-21,01:37PM,CHFJPY,19,81,118.32,520.89,1999,769,2768
2026-09-21,01:37PM,AUDCHF,98,2,2145.8,48.67,599,4329,4928
2026-09-21,01:37PM,GBPNZD,75,25,220.29,71.5,948,1788,2736
2026-09-21,01:37PM,NZDCHF,32,68,137.08,285.56,1947,1193,3140
2026-09-21,01:37PM,XAGUSD,44,56,138.04,174.61,788,389,1177
2026-09-21,01:37PM,XAUUSD,43,57,713.23,944.42,8379,4402,12781
2026-09-21,01:37PM,CADCHF,45,55,323.56,395.74,3299,1904,5203
2026-09-21,01:37PM,GBPAUD,12,88,42.53,315.08,1960,364,2324
2026-09-21,01:37PM,SPA35,0,100,0,0.18,1,0,1
2026-09-21,01:37PM,SGDJPY,88,12,1.93,0.26,10,16,26
2026-09-21,01:37PM,SUGAR,0,100,0,26.4,16,0,16
2026-09-21,01:37PM,GBPNOK,0,100,0,0.01,1,0,1
2026-09-21,01:37PM,US30,36,64,3,5.31,2,1,3
2026-09-21,01:37PM,EURZAR,99,1,2.48,0.03,2,15,17
2026-09-21,01:37PM,AUDSGD,65,35,3.09,1.68,106,80,186
2026-09-21,01:37PM,GBPZAR,0,0,0,0,0,0,0
2026-09-21,01:37PM,GBPSEK,0,100,0,0.05,2,0,2
2026-09-21,01:37PM,CHFSGD,67,33,1.65,0.82,24,23,47
2026-09-21,01:37PM,EURSGD,30,70,6.54,15.27,380,75,455
2026-09-21,01:37PM,GBPSGD,10,90,1.5,13.08,105,10,115
2026-09-21,01:37PM,AUDDKK,0,0,0,0,0,0,0
2026-09-21,01:37PM,EURHKD,38,63,1.08,1.8,45,4,49
2026-09-21,01:37PM,GBPDKK,0,0,0,0,0,0,0
2026-09-21,01:37PM,COPPER,0,100,0,0.03,3,0,3
2026-09-21,01:37PM,COFFEE,80,20,4,1,1,3,4
2026-09-21,01:37PM,EURO50,0,0,0,0,0,0,0
2026-09-21,01:37PM,TRYJPY,0,100,0.02,5.83,10,1,11
2026-09-21,01:37PM,US500,100,0,1.1,0,0,2,2
2026-09-21,01:37PM,GBPPLN,0,0,0,0,0,0,0
2026-09-21,01:37PM,WHEAT,0,100,0,0.01,1,0,1
2026-09-21,01:37PM,COCOA,100,0,0.05,0,0,1,1
2026-09-21,01:37PM,UK100,100,0,1.36,0,0,6,6
2026-09-21,01:37PM,XAUGBP,48,52,0.29,0.32,1,13,14
2026-09-21,01:37PM,COTTON,0,100,0,0.03,3,0,3
2026-09-21,01:37PM,NOKJPY,93,7,1,0.07,7,1,8
2026-09-21,01:37PM,SP500,0,0,0,0,0,0,0
2026-09-21,01:37PM,ZARJPY,79,21,2,0.53,17,2,19
2026-09-21,01:37PM,HKDJPY,0,0,0,0,0,0,0
2026-09-21,01:37PM,CHFNOK,50,50,0.02,0.02,1,1,2
2026-09-21,01:37PM,GBPTRY,100,0,0.4,0,0,2,2
2026-09-21,01:37PM,USDRUB,0,100,0,0.1,1,0,1
2026-09-21,01:37PM,SEKJPY,50,50,0.08,0.08,8,1,9
2026-09-21,01:37PM,MSFT,0,0,0,0,0,0,0
2026-09-21,01:37PM,JNJ,0,0,0,0,0,0,0
2026-09-21,01:37PM,EURMXN,100,0,1.28,0,0,19,19
2026-09-21,01:37PM,XAUAUD,100,0,0.03,0,0,3,3
2026-09-21,01:37PM,XAUEUR,56,44,2.59,2,64,29,93
2026-09-21,01:37PM,WS30,0,0,0,0,0,0,0
2026-09-21,01:37PM,NAS100,2,98,0.01,0.61,7,1,8
2026-09-21,01:37PM,SGDHKD,0,0,0,0,0,0,0
2026-09-21,01:37PM,US2000,100,0,2,0,0,2,2
2026-09-21,01:37PM,FRA40,94,6,4,0.26,1,4,5
2026-09-21,01:37PM,GER30,0,100,0,0.1,1,0,1
2026-09-21,01:37PM,AUDSEK,0,0,0,0,0,0,0
2026-09-21,01:37PM,XAUJPY,56,44,0.6,0.47,5,19,24
2026-09-21,01:37PM,XAUCHF,5,95,0.02,0.41,17,1,18
2026-09-21,01:37PM,USOIL,100,0,0.03,0,0,1,1
2026-09-21,01:37PM,CHFSEK,100,0,0.1,0,0,10,10
2026-09-21,01:37PM,AUS200,50,50,1,1,1,1,2
2026-09-21,01:37PM,GBPMXN,100,0,0.08,0,0,8,8
2026-09-21,01:37PM,JPN225,0,100,0,1,1,0,1
2026-09-21,01:37PM,XAGAUD,0,100,0,0.01,1,0,1
2026-09-21,01:37PM,NOKSEK,69,31,1.67,0.74,66,16,82
2026-09-21,01:37PM,USDX,0,100,0,0.3,1,0,1
2026-09-21,01:37PM,XAGEUR,11,89,0.1,0.77,40,1,41
2026-09-21,01:37PM,EBAY,0,0,0,0,0,0,0
2026-09-21,01:37PM,VIX,0,100,0,0.2,2,0,2
2026-09-21,01:37PM,CHFHKD,0,0,0,0,0,0,0
2026-09-21,01:37PM,YHOO,0,100,0,8,1,0,1
2026-09-21,01:37PM,XPTUSD,43,57,11.39,15.28,18,21,39
2026-09-21,01:37PM,GBPHKD,0,0,0,0,0,0,0
2026-09-21,01:37PM,XPDUSD,7,93,0.01,0.13,13,1,14
2026-09-21,01:37PM,CADHKD,0,0,0,0,0,0,0
2026-09-21,01:37PM,USDCNH,0,100,0,32.98,50,0,50
2026-09-21,01:37PM,AUDHKD,0,0,0,0,0,0,0
2026-09-21,01:37PM,NZDHKD,0,0,0,0,0,0,0
2026-09-21,01:37PM,AAPL,0,0,0,0,0,0,0
2026-09-21,01:37PM,PFE,0,100,0,0.5,1,0,1
2026-09-21,01:37PM,FB,0,100,0,0.5,1,0,1
2026-09-21,01:37PM,IT40,100,0,4,0,0,1,1
2026-09-21,01:37PM,GS,0,0,0,0,0,0,0
2026-09-21,01:37PM,NKE,0,0,0,0,0,0,0
2026-09-21,01:37PM,BA,0,0,0,0,0,0,0
2026-09-21,01:37PM,CVX,0,0,0,0,0,0,0
2026-09-21,01:37PM,GOOG,0,100,0,1,1,0,1
2026-09-21,01:37PM,XTIUSD,0,100,0,3,3,0,3
2026-09-21,01:37PM,BTCUSD,46,54,156.04,186.74,983,653,1636
2026-09-21,01:37PM,XBRUSD,0,100,0,0.03,3,0,3
2026-09-21,01:37PM,US30.D,100,0,1,0,0,1,1
2026-09-21,01:37PM,BTCEUR,100,0,0.01,0,0,1,1
2026-09-21,01:37PM,LTCBTC,0,100,0,2,2,0,2
2026-09-21,01:37PM,LTCUSD,3,97,2.02,71.23,364,3,367
2026-09-21,01:37PM,TWTR,0,100,0,1,1,0,1
2026-09-21,01:37PM,HK50,100,0,0.1,0,0,1,1
2026-09-21,01:37PM,GOPRO,0,100,0,0.01,1,0,1
2026-09-21,01:37PM,XNGUSD,100,0,0.02,0,0,1,1
2026-09-21,01:37PM,APPL,0,0,0,0,0,0,0
2026-09-21,01:37PM,DXU5,0,0,0,0,0,0,0
2026-09-21,01:37PM,DXZ5,0,100,0,2,2,0,2
2026-09-21,01:37PM,OGZD,0,0,0,0,0,0,0
2026-09-21,01:37PM,CN50,33,67,0.2,0.4,4,1,5
2026-09-21,01:37PM,BTCJPY,0,100,0,0.01,1,0,1
2026-09-21,01:37PM,ETHUSD,16,84,35.68,191.09,870,145,1015
2026-09-21,01:37PM,DSHUSD,2,98,0.01,0.5,1,1,2
2026-09-21,01:37PM,DASH,100,0,2.9,0,0,7,7
2026-09-21,01:37PM,BTCGBP,0,100,0,0.01,1,0,1
2026-09-21,01:37PM,ETCUSD,0,100,0,1,1,0,1
2026-09-21,01:37PM,XRPUSD,19,81,5.13,21.48,33,24,57
2026-09-21,01:37PM,BCHUSD,0,100,0,1.01,2,0,2
2026-09-21,01:37PM,ZECUSD,12,88,0.15,1.07,5,2,7
2026-09-21,01:37PM,XMRUSD,14,86,0.01,0.06,4,1,5
2026-09-21,01:37PM,NEOUSD,0,100,0,11.5,10,0,10
2026-09-21,01:37PM,OMGUSD,0,100,0,264,66,0,66
2026-09-21,01:37PM,RIPPLE,100,0,0.1,0,0,1,1
2026-09-21,01:37PM,EOSUSD,0,100,0,1,2,0,2
2026-09-21,01:37PM,IOTUSD,0,100,0,0.1,1,0,1
2026-09-21,01:37PM,QTMUSD,0,100,0,161,46,0,46
2026-09-21,01:37PM,XLMUSD,0,100,0,0.3,1,0,1
2026-09-21,01:37PM,TRXUSD,0,100,0,0.1,1,0,1
2026-09-21,01:37PM,ZRXUSD,100,0,0.02,0,0,2,2
2026-09-21,01:37PM,ADAUSD,20,80,0.1,0.41,12,4,16
2026-09-21,01:37PM,XTZUSD,0,100,0,0.7,2,0,2
2026-09-21,01:37PM,BATUSD,0,100,0,0.15,3,0,3
2026-09-21,01:37PM,FTMUSD,0,100,0,0.01,1,0,1
2026-09-21,01:37PM,FETUSD,0,100,0,0.05,5,0,5
2026-09-21,01:37PM,SCI25,0,100,0,0.2,2,0,2
2026-09-21,01:37PM,CNI30,100,0,0.2,0,0,2,2
2026-09-21,01:37PM,BIO30,0,100,0,0.1,1,0,1
2026-09-21,01:37PM,LAT30,0,100,0,0.1,1,0,1
2026-09-21,01:37PM,JPYX,100,0,1,0,0,1,1
2026-09-21,01:37PM,MKRUSD,0,100,0,0.01,1,0,1
2026-09-21,01:37PM,DOTUSD,0,100,0,1.01,9,0,9
2026-09-21,01:37PM,UNIUSD,0,100,0,4.25,3,0,3
2026-09-21,01:37PM,VETUSD,0,100,0,0.01,1,0,1
2026-09-21,01:37PM,YFIUSD,0,100,0,0.1,1,0,1
2026-09-21,01:37PM,ICPUSD,0,100,0,0.07,6,0,6
2026-09-21,01:37PM,SOLUSD,0,100,0.99,202.48,128,14,142
2026-09-21,01:37PM,SNXUSD,0,100,0,0.5,1,0,1
2026-09-21,01:37PM,CRVUSD,0,100,0,4.02,2,0,2
2026-09-21,01:37PM,FILUSD,0,100,0,0.85,11,0,11
2026-09-21,01:37PM,AXSUSD,0,100,0,0.35,6,0,6
