date,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-07-02,EURUSD,43,57,6347.52,8413.2,23995,21137,45132
2026-07-02,GBPUSD,72,28,5536.72,2168.66,9726,17211,26937
2026-07-02,USDJPY,63,37,1635.58,945.69,3942,4722,8664
2026-07-02,GBPJPY,60,40,405.39,265.55,1275,1777,3052
2026-07-02,USDCAD,92,8,4433.39,373.92,2877,13733,16610
2026-07-02,EURAUD,47,53,387.5,440.47,1895,1951,3846
2026-07-02,EURJPY,58,42,771.75,549.05,2391,1701,4092
2026-07-02,AUDCAD,55,45,3938.04,3196.8,12633,18153,30786
2026-07-02,AUDJPY,49,51,283.47,292.39,1696,1143,2839
2026-07-02,AUDNZD,84,16,4908.93,924.88,3667,11590,15257
2026-07-02,AUDUSD,42,58,1109.42,1556.31,5729,3718,9447
2026-07-02,CADJPY,24,76,58.83,181.77,1082,417,1499
2026-07-02,EURCAD,78,22,305.85,86.41,488,2045,2533
2026-07-02,EURCHF,35,65,242.09,452.55,2483,1472,3955
2026-07-02,EURCZK,88,12,0.29,0.04,2,19,21
2026-07-02,EURDKK,0,0,0,0,0,0,0
2026-07-02,EURGBP,16,84,277.5,1410.62,8004,1683,9687
2026-07-02,EURHUF,29,71,0.76,1.84,20,8,28
2026-07-02,EURNOK,100,0,2.04,0,0,12,12
2026-07-02,EURNZD,83,17,538.78,111.69,845,2417,3262
2026-07-02,EURPLN,100,0,4.29,0.01,1,29,30
2026-07-02,EURSEK,100,0,0.22,0,0,4,4
2026-07-02,EURTRY,100,0,0.41,0,0,2,2
2026-07-02,GBPCAD,92,8,576.21,49.15,402,4829,5231
2026-07-02,GBPCHF,57,43,158.24,118.42,792,1818,2610
2026-07-02,NZDCAD,59,41,611.62,429.61,2144,3564,5708
2026-07-02,NZDJPY,19,81,46.7,194.58,1280,539,1819
2026-07-02,NZDUSD,20,80,320.19,1251.55,4517,1302,5819
2026-07-02,USDCHF,52,48,892.3,827.36,3492,2890,6382
2026-07-02,USDCZK,0,100,0,0.54,22,0,22
2026-07-02,USDDKK,0,0,0,0,0,0,0
2026-07-02,USDHKD,100,0,0.02,0,0,1,1
2026-07-02,USDHUF,0,100,0,6.78,65,0,65
2026-07-02,USDMXN,56,44,2.64,2.09,33,26,59
2026-07-02,USDNOK,64,36,1.13,0.64,20,1,21
2026-07-02,USDPLN,0,100,0,0.37,17,0,17
2026-07-02,USDSEK,54,46,5,4.25,27,10,37
2026-07-02,USDSGD,85,15,17.35,3.01,57,134,191
2026-07-02,USDTHB,20,80,0.04,0.16,7,3,10
2026-07-02,USDTRY,100,0,0.15,0,0,2,2
2026-07-02,USDZAR,23,77,0.51,1.74,68,17,85
2026-07-02,CHFJPY,76,24,506.87,162.17,1440,1928,3368
2026-07-02,AUDCHF,19,81,221.94,936.38,2446,1258,3704
2026-07-02,GBPNZD,92,8,896.03,78.46,645,3976,4621
2026-07-02,NZDCHF,18,82,97.44,449.84,2767,562,3329
2026-07-02,XAGUSD,39,61,67.77,105.05,884,269,1153
2026-07-02,XAUUSD,40,60,713.93,1056.91,9442,4535,13977
2026-07-02,CADCHF,9,91,68.34,730.16,4923,495,5418
2026-07-02,GBPAUD,84,16,818.08,155.82,1326,3022,4348
2026-07-02,SPA35,0,100,0,0.18,1,0,1
2026-07-02,SGDJPY,98,2,7.4,0.13,13,46,59
2026-07-02,SUGAR,0,100,0,26.4,16,0,16
2026-07-02,GBPNOK,100,0,0.05,0,0,1,1
2026-07-02,US30,36,64,3,5.31,2,1,3
2026-07-02,EURZAR,96,4,0.82,0.03,2,8,10
