date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-08-24,04:39AM,EURUSD,76,24,14643.81,4692.32,14806,44710,59516
2026-08-24,04:39AM,GBPUSD,82,18,7227.41,1581.32,5760,22945,28705
2026-08-24,04:39AM,USDJPY,41,59,532.52,769.86,3973,2327,6300
2026-08-24,04:39AM,GBPJPY,90,10,2174.72,234.9,961,3203,4164
2026-08-24,04:39AM,USDCAD,25,75,860.74,2588.03,10128,4630,14758
2026-08-24,04:39AM,EURAUD,21,79,191.39,732.64,2944,904,3848
2026-08-24,04:39AM,EURJPY,86,14,1314.01,219.69,734,3626,4360
2026-08-24,04:39AM,AUDCAD,80,20,5850.15,1478.54,6902,23380,30282
2026-08-24,04:39AM,AUDJPY,93,7,667.16,46.68,459,2641,3100
2026-08-24,04:39AM,AUDNZD,68,32,2137.85,1005.36,3522,8184,11706
2026-08-24,04:39AM,AUDUSD,90,10,2543.71,287.7,1221,8805,10026
2026-08-24,04:39AM,CADJPY,71,29,225.72,94.35,351,993,1344
2026-08-24,04:39AM,EURCAD,41,59,348.23,504.45,1726,1784,3510
2026-08-24,04:39AM,EURCHF,73,27,739.99,270.95,1454,3371,4825
2026-08-24,04:39AM,EURCZK,60,40,0.21,0.14,14,21,35
2026-08-24,04:39AM,EURDKK,0,0,0,0,0,0,0
2026-08-24,04:39AM,EURGBP,61,39,773.89,494.85,3095,4529,7624
2026-08-24,04:39AM,EURHUF,96,4,2.16,0.09,9,17,26
2026-08-24,04:39AM,EURNOK,40,60,0.02,0.03,2,2,4
2026-08-24,04:39AM,EURNZD,30,70,141.09,323.54,1822,1405,3227
2026-08-24,04:39AM,EURPLN,100,0,4.3,0.01,1,30,31
2026-08-24,04:39AM,EURSEK,93,7,3.05,0.23,23,4,27
2026-08-24,04:39AM,EURTRY,100,0,2.01,0,0,10,10
2026-08-24,04:39AM,GBPCAD,60,40,177.87,121.06,1021,1278,2299
2026-08-24,04:39AM,GBPCHF,69,31,230.1,103.41,704,1522,2226
2026-08-24,04:39AM,NZDCAD,86,14,900.28,149.6,1008,4385,5393
2026-08-24,04:39AM,NZDJPY,85,15,237.81,42.46,274,1486,1760
2026-08-24,04:39AM,NZDUSD,83,17,1619.31,327.27,1319,4697,6016
2026-08-24,04:39AM,USDCHF,22,78,330.11,1184.64,4891,1515,6406
2026-08-24,04:39AM,USDCZK,0,100,0,76.93,83,0,83
2026-08-24,04:39AM,USDDKK,0,0,0,0,0,0,0
2026-08-24,04:39AM,USDHKD,100,0,0.02,0,0,1,1
2026-08-24,04:39AM,USDHUF,6,94,0.41,6.86,69,2,71
